,iModulon,Gene
00,0,PP_2214
01,0,PP_2215
02,0,PP_2217
03,1,PP_0417
04,1,PP_2001
05,1,PP_2168
06,1,PP_4008
07,1,PP_4696
08,1,PP_5097
09,2,PP_5303
10,3,PP_0395
11,3,PP_0396
12,3,PP_0397
13,3,PP_1364
14,3,PP_1623
15,3,PP_1656
16,3,PP_2245
17,3,PP_3653
18,3,PP_3654
19,3,PP_4754
20,3,PP_4947
21,3,PP_5232
22,3,PP_5331
23,4,PP_1379
24,4,PP_1381
25,4,PP_1713
26,4,PP_3159
27,4,PP_3161
28,4,PP_3162
29,4,PP_3163
30,4,PP_3164
31,4,PP_3714
32,4,PP_3715
33,4,PP_3716
34,4,PP_4655
35,4,PP_4656
36,5,PP_0321
37,5,PP_0986
38,5,PP_0988
39,5,PP_0989
40,5,PP_0997
41,5,PP_2378
42,5,PP_4901
43,5,PP_5035
44,5,PP_5155
45,6,PP_0294
46,6,PP_0295
47,6,PP_0298
48,6,PP_0301
49,6,PP_0302
50,6,PP_0303
51,6,PP_0304
52,6,PP_0308
53,6,PP_0309
54,6,PP_0310
55,6,PP_0311
56,6,PP_0312
57,6,PP_0313
58,6,PP_0315
59,6,PP_0316
60,6,PP_0322
61,6,PP_0323
62,6,PP_0324
63,6,PP_0325
64,6,PP_0326
65,6,PP_5155
66,6,PP_5441
67,7,PP_0213
68,7,PP_0266
69,7,PP_0566
70,7,PP_0567
71,7,PP_1011
72,7,PP_1012
73,7,PP_1015
74,7,PP_1016
75,7,PP_1017
76,7,PP_1426
77,7,PP_1842
78,7,PP_2645
79,7,PP_2884
80,7,PP_2908
81,7,PP_2932
82,7,PP_3244
83,7,PP_3415
84,7,PP_4547
85,7,PP_4548
86,7,PP_5212
87,7,PP_5262
88,7,PP_5719
89,8,PP_0127
90,8,PP_0345
91,8,PP_0809
92,8,PP_0856
93,8,PP_0958
94,8,PP_0959
95,8,PP_0960
96,8,PP_0961
97,8,PP_0962
98,8,PP_2163
99,8,PP_3105
100,8,PP_3248
101,8,PP_4785
102,8,PP_4937
103,9,PP_1898
104,9,PP_4736
105,9,PP_4994
106,10,PP_2333
107,10,PP_2334
108,10,PP_2335
109,10,PP_2790
110,10,PP_2791
111,10,PP_2793
112,10,PP_2794
113,10,PP_3121
114,10,PP_3122
115,10,PP_3123
116,10,PP_3286
117,10,PP_3753
118,10,PP_3754
119,10,PP_3755
120,10,PP_4008
121,10,PP_4628
122,11,PP_0362
123,11,PP_0363
124,11,PP_0364
125,11,PP_0365
126,11,PP_4947
127,11,PP_4984
128,11,PP_5346
129,11,PP_5347
130,11,PP_5348
131,12,PP_0735
132,12,PP_1075
133,12,PP_1233
134,12,PP_1292
135,12,PP_1293
136,12,PP_1294
137,12,PP_1304
138,12,PP_1705
139,12,PP_2122
140,12,PP_2123
141,12,PP_3621
142,12,PP_3622
143,12,PP_3623
144,12,PP_3828
145,12,PP_3829
146,12,PP_3830
147,12,PP_3946
148,12,PP_4231
149,12,PP_4320
150,12,PP_4597
151,13,PP_0356
152,13,PP_3356
153,13,PP_3357
154,13,PP_3358
155,13,PP_3537
156,14,PP_5048
157,14,PP_5075
158,14,PP_5076
159,15,PP_1375
160,15,PP_1377
161,15,PP_1378
162,15,PP_1379
163,15,PP_1380
164,15,PP_1381
165,15,PP_1713
166,15,PP_3164
167,15,PP_3537
168,15,PP_3538
169,15,PP_3590
170,15,PP_3951
171,15,PP_3952
172,15,PP_4655
173,15,PP_4656
174,15,PP_5085
175,16,PP_0376
176,16,PP_0377
177,16,PP_0378
178,16,PP_0379
179,16,PP_0380
180,16,PP_0381
181,16,PP_2213
182,16,PP_2214
183,16,PP_2215
184,16,PP_2217
185,16,PP_2334
186,16,PP_2335
187,16,PP_2665
188,16,PP_2668
189,16,PP_2671
190,16,PP_2672
191,16,PP_2674
192,16,PP_2675
193,16,PP_2682
194,16,PP_2683
195,17,PP_3270
196,17,PP_3272
197,17,PP_3273
198,17,PP_3274
199,17,PP_3276
200,17,PP_3277
201,17,PP_3278
202,17,PP_3279
203,17,PP_3280
204,17,PP_3281
205,17,PP_3282
206,17,PP_3283
207,17,PP_3284
208,17,PP_3285
209,17,PP_3493
210,17,PP_3494
211,18,PP_0948
212,18,PP_5145
213,19,PP_0856
214,19,PP_1150
215,19,PP_1151
216,19,PP_1152
217,19,PP_3590
218,19,PP_4699
219,20,PP_1079
220,20,PP_1088
221,20,PP_4475
222,20,PP_4477
223,20,PP_4478
224,20,PP_4479
225,20,PP_4481
226,20,PP_4482
227,20,PP_4483
228,20,PP_4484
229,20,PP_4485
230,20,PP_4486
231,20,PP_5185
232,20,PP_5289
233,21,PP_0542
234,21,PP_0543
235,21,PP_1349
236,21,PP_1672
237,21,PP_1673
238,21,PP_1675
239,21,PP_1676
240,21,PP_1677
241,21,PP_1678
242,21,PP_1679
243,21,PP_1681
244,21,PP_3409
245,21,PP_3505
246,21,PP_3506
247,21,PP_3507
248,21,PP_3508
249,21,PP_4826
250,21,PP_4827
251,21,PP_4828
252,21,PP_4829
253,21,PP_4830
254,21,PP_4832
255,22,PP_1109
256,22,PP_1110
257,22,PP_1111
258,22,PP_4947
259,23,PP_2388
260,23,PP_2390
261,23,PP_4058
262,24,PP_1022
263,24,PP_2217
264,24,PP_2334
265,24,PP_2335
266,24,PP_2336
267,24,PP_2337
268,24,PP_3491
269,24,PP_4666
270,24,PP_4667
271,24,PP_4668
272,24,PP_4699
273,24,PP_5188
274,24,PP_5216
275,24,PP_5346
276,25,PP_1233
277,25,PP_1733
278,25,PP_2001
279,25,PP_2327
280,25,PP_2402
281,25,PP_3105
282,25,PP_3511
283,25,PP_3951
284,25,PP_4680
285,25,PP_5098
286,25,PP_5114
287,26,PP_0165
288,26,PP_0166
289,26,PP_0167
290,26,PP_0168
291,26,PP_4519
292,27,PP_0117
293,27,PP_1615
294,27,PP_1616
295,27,PP_1664
296,27,PP_3537
297,27,PP_3538
298,27,PP_3736
299,27,PP_3737
300,27,PP_4993
301,28,PP_2884
302,28,PP_5177
303,28,PP_5178
304,28,PP_5179
305,28,PP_5181
306,28,PP_5278
307,29,PP_0289
308,29,PP_0290
309,29,PP_0291
310,29,PP_0292
311,29,PP_0965
312,29,PP_0966
313,29,PP_5014
314,29,PP_5029
315,29,PP_5030
316,29,PP_5033
317,29,PP_5036
318,30,PP_1362
319,30,PP_1379
320,30,PP_3105
321,30,PP_3776
322,30,PP_3790
323,30,PP_4897
324,30,PP_5227
325,30,PP_5309
326,31,PP_1589
327,31,PP_2088
328,31,PP_5047
329,31,PP_5048
330,32,PP_0362
331,32,PP_0363
332,32,PP_0364
333,32,PP_0365
334,32,PP_0366
335,32,PP_3122
336,32,PP_3123
337,32,PP_4064
338,32,PP_4065
339,32,PP_4066
340,32,PP_4067
341,32,PP_4984
342,33,PP_1650
343,33,PP_1655
344,33,PP_1656
345,33,PP_2889
346,33,PP_4099
347,33,PP_4171
348,33,PP_5309
349,34,PP_0127
350,34,PP_0164
351,34,PP_2414
352,34,PP_3484
353,34,PP_3821
354,34,PP_4364
355,35,PP_0164
356,35,PP_0593
357,35,PP_1214
358,35,PP_1941
359,35,PP_2499
360,35,PP_4098
361,35,PP_4254
362,35,PP_4504
363,35,PP_5017
364,35,PP_5240
365,35,PP_5274
366,35,PP_5659
367,36,PP_1776
368,36,PP_1780
369,36,PP_1799
370,36,PP_1800
371,36,PP_1801
372,36,PP_1802
373,36,PP_1804
374,36,PP_1805
375,36,PP_3821
376,36,PP_4936
377,36,PP_4938
378,36,PP_4940
379,37,PP_1215
380,38,PP_1410
381,39,PP_1635
382,39,PP_1695
383,39,PP_4487
384,40,PP_0176
385,40,PP_0177
386,40,PP_0179
387,40,PP_0763
388,40,PP_1968
389,40,PP_2136
390,40,PP_2903
391,40,PP_3539
392,40,PP_4696
393,40,PP_5706
394,41,PP_0833
395,41,PP_1075
396,41,PP_1623
397,41,PP_1655
398,41,PP_2378
399,41,PP_4120
400,41,PP_4121
401,41,PP_4122
402,41,PP_4124
403,41,PP_4126
404,41,PP_4129
405,41,PP_4130
406,41,PP_4131
407,41,PP_4696
408,42,PP_0393
409,42,PP_0833
410,42,PP_1620
411,42,PP_2329
412,42,PP_3433
413,42,PP_3434
414,42,PP_3590
415,42,PP_4489
416,42,PP_4490
417,42,PP_4895
418,42,PP_4917
419,43,PP_0214
420,43,PP_0595
421,43,PP_0596
422,43,PP_0597
423,43,PP_0948
424,43,PP_1656
425,43,PP_3436
426,43,PP_5217
427,43,PP_5270
428,43,PP_5331
429,44,PP_0246
430,44,PP_0834
431,44,PP_2370
432,44,PP_2820
433,44,PP_3146
434,44,PP_3147
435,44,PP_3148
436,44,PP_3244
437,44,PP_3245
438,44,PP_4058
439,44,PP_4098
440,44,PP_4304
441,44,PP_4891
442,44,PP_4892
443,44,PP_5096
444,44,PP_5183
445,44,PP_5278
446,45,PP_0362
447,45,PP_2919
448,45,PP_2920
449,45,PP_2921
450,45,PP_2922
451,46,PP_0574
452,46,PP_0803
453,46,PP_0805
454,46,PP_0806
455,46,PP_5045
456,46,PP_5309
457,47,PP_0065
458,47,PP_1186
459,47,PP_1445
460,47,PP_1655
461,47,PP_1656
462,47,PP_2402
463,47,PP_4696
464,48,PP_2795
465,48,PP_4762
466,49,PP_1426
467,49,PP_1623
468,49,PP_2047
469,49,PP_2049
470,49,PP_2144
471,49,PP_3662
472,49,PP_4977
473,50,PP_0123
474,50,PP_0856
475,50,PP_0949
476,50,PP_1025
477,50,PP_1088
478,50,PP_1362
479,50,PP_1445
480,50,PP_1623
481,50,PP_2327
482,50,PP_3248
483,50,PP_3649
484,50,PP_3662
485,50,PP_4058
486,50,PP_4515
487,50,PP_4539
488,50,PP_4696
489,50,PP_4895
490,50,PP_5146
491,50,PP_5331
492,51,PP_4341
493,51,PP_4344
494,51,PP_4352
495,51,PP_4353
496,51,PP_4354
497,51,PP_4355
498,51,PP_4356
499,51,PP_4361
500,51,PP_4365
501,51,PP_4366
502,51,PP_4368
503,51,PP_4369
504,51,PP_4370
505,51,PP_4378
506,51,PP_4381
507,51,PP_4382
508,51,PP_4383
509,51,PP_4384
510,51,PP_4385
511,51,PP_4386
512,51,PP_4388
513,51,PP_4390
514,51,PP_4391
515,51,PP_4394
516,51,PP_4396
517,52,PP_0356
518,52,PP_0368
519,52,PP_2136
520,52,PP_2137
521,52,PP_2334
522,52,PP_2335
523,52,PP_4116
524,52,PP_4549
525,52,PP_4699
526,52,PP_5085
527,52,PP_5659
528,53,PP_0001
529,54,PP_0417
530,54,PP_1022
531,54,PP_1362
532,54,PP_2348
533,54,PP_4625
534,54,PP_4626
535,54,PP_4736
536,54,PP_4895
537,54,PP_4902
538,54,PP_4954
539,54,PP_5098
540,54,PP_5185
541,54,PP_5217
542,54,PP_5350
543,55,PP_0596
544,55,PP_2327
545,55,PP_4036
546,55,PP_4037
547,55,PP_4038
548,55,PP_4754
549,56,PP_1988
550,56,PP_3511
551,56,PP_4678
552,56,PP_4680
553,56,PP_5128
554,57,PP_2136
555,57,PP_2334
556,57,PP_2335
557,57,PP_4549
558,58,PP_0735
559,58,PP_1233
560,58,PP_1348
561,58,PP_4782
562,58,PP_4922
563,58,PP_5104
564,59,PP_0411
565,59,PP_0412
566,59,PP_0414
567,59,PP_3505
568,59,PP_4196
569,59,PP_5705
570,59,PP_t12
571,60,PP_4575
572,60,PP_4576
573,60,PP_4577
574,60,PP_4578
575,60,PP_4891
576,60,PP_5114
577,61,PP_0435
578,61,PP_1165
579,61,PP_1167
580,61,PP_1168
581,61,PP_1169
582,61,PP_1170
583,61,PP_1171
584,61,PP_3599
585,61,PP_3600
586,61,PP_3601
587,61,PP_5322
588,62,PP_1362
589,62,PP_2001
590,62,PP_2327
591,62,PP_5097
592,62,PP_5098
593,63,PP_0787
594,64,PP_0137
595,64,PP_0594
596,64,PP_1066
597,64,PP_1067
598,64,PP_1068
599,64,PP_1069
600,64,PP_1070
601,64,PP_1071
602,64,PP_4693
603,64,PP_4891
604,64,PP_4902
605,64,PP_5337
606,65,PP_0691
607,65,PP_5095
608,66,PP_1088
609,66,PP_4679
610,66,PP_4680
611,67,PP_0382
612,67,PP_0383
613,67,PP_0384
614,67,PP_2088
615,67,PP_2910
616,67,PP_3591
617,67,PP_3592
618,67,PP_3593
619,67,PP_3594
620,67,PP_3595
621,67,PP_3596
622,67,PP_3597
623,67,PP_4108
624,67,PP_4493
625,67,PP_5085
626,67,PP_5257
627,67,PP_5258
628,67,PP_5260
629,68,PP_0965
630,68,PP_0967
631,69,PP_2217
632,69,PP_3551
633,69,PP_3552
634,69,PP_3553
635,69,PP_3554
636,69,PP_3754
637,69,PP_3755
638,69,PP_3756
639,69,PP_5217
640,70,PP_0292
641,71,PP_0406
642,71,PP_0547
643,71,PP_1778
644,71,PP_2910
645,71,PP_3484
646,72,PP_0213
647,72,PP_0214
648,72,PP_2910
649,73,PP_0083
650,73,PP_0417
651,73,PP_0420
652,73,PP_0421
653,73,PP_0833
654,73,PP_0965
655,73,PP_1988
656,73,PP_2001
657,73,PP_4678
658,74,PP_0833
659,74,PP_1079
660,74,PP_1088
661,74,PP_2327
662,74,PP_4680
663,74,PP_5350
664,75,PP_0393
665,75,PP_0417
666,75,PP_0832
667,75,PP_0833
668,75,PP_0967
669,75,PP_1426
670,75,PP_1733
671,75,PP_2052
672,75,PP_2327
673,75,PP_2345
674,75,PP_2348
675,75,PP_2388
676,75,PP_2714
677,75,PP_3376
678,75,PP_4004
679,75,PP_4058
680,75,PP_4680
681,75,PP_4700
682,75,PP_4895
683,75,PP_4897
684,75,PP_5500
685,76,PP_0368
686,76,PP_2137
687,77,PP_0025
688,77,PP_0048
689,77,PP_0893
690,77,PP_1208
691,77,PP_1381
692,77,PP_1716
693,77,PP_2414
694,78,PP_0765
695,78,PP_0766
696,78,PP_0767
697,78,PP_2018
698,78,PP_2019
699,78,PP_2903
700,78,PP_5533
701,80,PP_5155
702,81,PP_5095
703,82,PP_1025
704,82,PP_1994
705,82,PP_2336
706,82,PP_5188
707,83,PP_1706
708,83,PP_1912
709,83,PP_4696
