k,name,regulator_readable,annotation,category,n_genes,exp_var,precision,recall,category_num
0,fModule_01,,Fatty Acid Metabolism,Carbon & Nitrogen Source,3,0.002066964,,,0
1,fModule_02,,Nitrogen Metabolism,Nitrogen Source,6,0.026252623,,,1
2,fModule_03,,RidA,Single Gene,1,0.009764845,,,2
3,fModule_04,,Transcriptional Regulation,Nitrogen Source,13,0.003173537,,,3
4,fModule_05,BenR,Benzoate Catabolism,Carbon Source,13,0.002325978,0.307692308,1,4
5,fModule_06,GcsR,"Glycine, Serine, and Threonine Metabolism",Amino Acid,9,0.001383403,0.333333333,0.75,5
6,fModule_07,GbdR,"Choline, Betaine, and Carnitine Catabolism",Nirogen Source,22,0.002215942,0.727272727,0.571428571,6
7,fModule_08,GltR-II,Propanediamine Catabolism,Nitrogen Source,22,0.006092524,0.181818182,0.571428571,7
8,fModule_09,,Maintenance of Lipid Asymmetry (Mla) System,Stress,14,0.005040706,,,8
9,fModule_10,,Bioreactor Growth,Bioreactor,3,0.004017635,,,9
10,fModule_11,PrpR,Levulinic Acid Catabolism,Carbon Source,16,0.005224798,0.1875,0.5,10
11,fModule_12,BirA,Biotin Biosynthesis & Pyruvate Carboxylase,Cofactor,9,0.01244949,0.444444444,0.666666667,11
12,fModule_13,ModR,Molybdopterin Biosynthesis & Benzaldehyde Tolerance,Cofactor,20,0.004223926,0.15,1,12
13,fModule_14,PP_3359,4-Coumarate and Ferulate Catabolism,Carbon Source,5,0.001547043,0.6,1,13
14,fModule_15,,Glutamate Metabolism,Amino Acid,3,0.010913527,,,14
15,fModule_16,PcaR,"Benzoate, 4-Coumarate, and Ferulate Catabolism",Carbon Source,16,0.01958881,0.5,0.888888889,15
16,fModule_17,PedR1,Pyrroloquinoline Biosynthesis & Short-Chain Alcohol Catabolism,Cofactor,20,0.00409193,0.65,0.393939394,16
17,fModule_18,,Phenylacetate Catabolism,Carbon Source,16,0.003009559,,,17
18,fModule_19,,Phosphoenolpyruvate:Sugar Phosphotransferase System,Bioreactor,2,0.003691574,,,18
19,fModule_20,,"4-Coumarate, Ferulate, and Catabolic Intermediate Stress Tolerance",Stress,6,0.003358317,,,19
20,fModule_21,,Arginine Metabolism,Amino Acid,14,0.031204452,,,20
21,fModule_22,,Cobalamin Biosynthesis & Ethanolamine Catabolism,Cofactor,22,0.004971208,,,21
22,fModule_23,,Uncharacterized,Uncharacterized,4,0.007052161,,,22
