,project,condition,rep,n_replicates
set1IT078,set1,Glucose carbon source (40mM),1,2.0
set1IT079,set1,Glucose carbon source (40mM),2,2.0
set1IT080,set1,Glucose carbon source (20mM),1,2.0
set1IT081,set1,Glucose carbon source (20mM),2,2.0
set1IT082,set1,4-Hydroxyvalerate carbon source (40mM),1,2.0
set1IT083,set1,4-Hydroxyvalerate carbon source (40mM),2,2.0
set1IT084,set1,Potassium Acetate Carbon Source (20mM),1,2.0
set1IT085,set1,Potassium Acetate Carbon Source (20mM),2,2.0
set1IT086,set1,Potassium Acetate Carbon Source (5mM),1,2.0
set1IT087,set1,Potassium Acetate Carbon Source (5mM),2,2.0
set5IT075,set5,D-Glucose carbon source,1,2.0
set5IT076,set5,D-Glucose carbon source,2,2.0
set5IT081,set5,Levulinic Acid carbon source,1,4.0
set5IT082,set5,Levulinic Acid carbon source,2,4.0
set5IT083,set5,Levulinic Acid carbon source,1,4.0
set5IT084,set5,Levulinic Acid carbon source,2,4.0
set5IT085,set5,Vanillin carbon source,1,2.0
set5IT086,set5,Vanillin carbon source,2,2.0
set5IT087,set5,p-Coumaric acid carbon source,1,2.0
set5IT088,set5,p-Coumaric acid carbon source,2,2.0
set6IT057,set6,D-Glucose carbon source,1,1.0
set6IT059,set6,Ferulic Acid carbon source,1,1.0
set6IT061,set6,benzoic acid carbon source,1,1.0
set6IT064,set6,Valerolactam carbon source,1,1.0
set6IT065,set6,D-Glucuronic Acid carbon source,1,1.0
set7IT042,set7,4-Aminobutyric acid 10 mM carbon source,1,1.0
set7IT044,set7,5-Aminovaleric acid 10 mM carbon source,1,2.0
set7IT045,set7,Valerolactam 10 mM carbon source,1,1.0
set7IT055,set7,L-Lysine 10 mM carbon source,1,1.0
set7IT056,set7,D-Lysine 10 mM carbon source,1,2.0
set7IT057,set7,5-Aminovaleric acid 10 mM carbon source,1,2.0
set7IT062,set7,D-Lysine 10 mM carbon source,1,2.0
set8IT058,set8,Adaptation in M9 media timecourse 1; day 2,1,1.0
set8IT059,set8,Adaptation in M9 media timecourse 1; day 3,1,1.0
set8IT060,set8,24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,1,1.0
set8IT062,set8,48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,1,2.0
set8IT064,set8,72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,1,2.0
set8IT070,set8,Adaptation in M9 media timecourse 2; day 3,1,1.0
set8IT073,set8,48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,1,1.0
set8IT080,set8,Adaptation in M9 media timecourse 3; day 2,1,1.0
set8IT081,set8,Adaptation in M9 media timecourse 3; day 3,1,1.0
set8IT082,set8,"24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",1,1.0
set8IT084,set8,"40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",1,1.0
set8IT085,set8,"40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",1,1.0
set8IT089,set8,Adaptation in M9 media timecourse 4; day 2,1,1.0
set8IT090,set8,Adaptation in M9 media timecourse 4; day 3,1,1.0
set8IT092,set8,24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,1,1.0
set8IT093,set8,48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,1,2.0
set8IT094,set8,48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,1,1.0
set8IT095,set8,72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,1,2.0
set8IT096,set8,72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,1,1.0
