,PP_0922
set1IT078,0.154
set1IT079,-0.224
set1IT080,0.132
set1IT081,-0.32
set1IT082,0.029
set1IT083,0.131
set1IT084,0.009
set1IT085,-0.212
set1IT086,0.187
set1IT087,-0.035
set5IT075,0.34
set5IT076,0.035
set5IT081,0.239
set5IT082,0.179
set5IT083,0.378
set5IT084,0.129
set5IT085,-0.109
set5IT086,0.06
set5IT087,-0.11
set5IT088,0.097
set6IT057,0.112
set6IT059,0.172
set6IT061,-0.121
set6IT064,0.07
set6IT065,0.008
set7IT042,0.532
set7IT044,0.213
set7IT045,0.174
set7IT055,-0.106
set7IT056,-0.38
set7IT057,-0.21
set7IT062,-0.272
set8IT058,-0.322
set8IT059,-0.085
set8IT060,-0.002
set8IT062,-0.267
set8IT064,-0.483
set8IT070,-0.312
set8IT073,-0.445
set8IT080,0.011
set8IT081,0.351
set8IT082,0.259
set8IT084,-0.254
set8IT085,-0.025
set8IT089,0.009
set8IT090,0.004
set8IT092,0.327
set8IT093,-0.132
set8IT094,0.158
set8IT095,-0.271
set8IT096,0.224
set9IT020,0.51
set9IT022,0.551
set9IT025,0.297
set10IT006,-0.127
set10IT008,0.152
set10IT010,0.171
set10IT017,-0.241
set10IT018,-0.219
set10IT019,0.125
set10IT020,0.122
set10IT021,0.225
set10IT022,0.187
set10IT023,0.009
set10IT024,-0.145
set10IT025,0.167
set10IT026,-0.148
set10IT027,-0.049
set10IT028,-0.394
set10IT029,-0.141
set10IT031,0.095
set10IT032,0.032
set10IT033,-0.005
set10IT034,0.046
set10IT035,0.122
set10IT036,0.048
set10IT037,-0.029
set10IT043,-0.062
set10IT044,0.006
set10IT053,0.077
set12IT001,0.007
set12IT002,-0.013
set12IT004,0.176
set12IT007,-0.339
set12IT008,-0.061
set12IT009,0.092
set12IT014,-0.059
set12IT015,0.042
set12IT016,0.143
set12IT017,-0.1
set12IT023,-0.021
set12IT024,0.292
set12IT025,0.083
set12IT026,0.192
set12IT027,-0.193
set12IT028,-0.095
set12IT029,-0.043
set12IT031,-0.229
set12IT032,0.008
set12IT034,0.303
set12IT037,-0.241
set12IT038,0.048
set12IT039,-0.149
set12IT044,0.037
set12IT046,0.14
set12IT053,-0.062
set12IT054,0.06
set12IT055,0.089
set12IT056,0.076
set12IT057,0.136
set12IT058,-0.094
set12IT059,0.213
set15IT054,-0.233
set15IT057,0.069
set15IT058,0.006
set15IT059,-0.145
set15IT060,-0.205
set15IT061,-0.221
set15IT062,-0.352
set15IT063,-0.036
set15IT064,-0.423
set15IT065,-0.485
set15IT066,0.149
set15IT067,-0.127
set15IT068,0.053
set15IT071,-0.063
set15IT072,0.01
set15IT073,-0.308
set15IT074,-0.075
set15IT075,0.128
set15IT076,0.008
set15IT077,-0.249
set15IT078,0.038
set15IT079,0.323
set15IT080,0.042
set15IT081,-0.28
set16IT004,-0.025
set16IT005,-0.059
set16IT006,0.127
set16IT007,-0.225
set16IT008,-0.263
set16IT009,0.076
set16IT010,0.123
set16IT011,-0.245
set16IT012,0.012
set16IT013,0.006
set16IT014,0.087
set16IT015,-0.064
set27IT004,-0.23
set27IT005,0.043
set27IT006,-0.361
set27IT007,-0.19
set27IT008,0.147
set27IT009,-0.158
set27IT010,-0.029
set27IT011,-0.299
set27IT012,-0.273
set27IT013,-0.081
set27IT014,-0.195
set27IT015,-0.125
set27IT016,-0.059
set27IT017,-0.079
set27IT018,0.076
set27IT019,-0.073
set27IT020,0.06
set27IT021,-0.197
set27IT024,0.173
set27IT025,0.162
set27IT028,0.026
set27IT029,0.23
set27IT030,-0.029
set27IT031,-0.162
set27IT032,0.004
set27IT033,-0.088
set27IT034,-0.07
set27IT035,0.022
set27IT036,-0.213
set27IT037,-0.058
set27IT038,-0.21
set27IT039,-0.094
set27IT040,-0.146
set27IT041,-0.014
set27IT042,-0.04
set27IT043,0.032
set27IT044,-0.067
set27IT045,-0.047
set27IT046,-0.159
set27IT047,-0.032
set27IT048,-0.215
set27IT049,0.003
set27IT050,-0.045
set27IT051,-0.163
set27IT052,-0.054
set27IT053,-0.126
set27IT054,-0.227
set27IT055,-0.236
set27IT056,-0.016
set27IT057,-0.254
set27IT058,-0.019
set27IT059,-0.054
set27IT060,0.083
set27IT061,-0.11
set27IT062,-0.02
set27IT063,-0.108
set27IT064,0.039
set27IT065,-0.115
set27IT066,-0.141
set27IT067,0.21
set27IT068,-0.115
set27IT069,0.046
set27IT070,-0.056
set27IT071,-0.248
set27IT072,0.11
set27IT073,-0.103
set28IT003,0.097
set28IT004,0.086
set28IT005,-0.098
set28IT006,-0.102
set28IT007,-0.349
set28IT008,-0.14
set28IT009,-0.211
set28IT010,0.036
set28IT013,0.029
set28IT014,-0.035
set28IT017,0.057
set28IT018,-0.13
set28IT021,-0.004
set28IT022,-0.023
set28IT023,0.01
set28IT024,0.021
set28IT027,0.044
set28IT028,0.176
set28IT029,0.015
set28IT030,0.15
set28IT031,0.068
set28IT032,-0.196
set28IT035,0.276
set28IT036,0.023
set28IT037,-0.087
set28IT038,0.066
set28IT039,0.056
set28IT040,0.296
set28IT041,0.158
set28IT042,0.034
set28IT045,-0.005
set28IT046,0.073
set29IT004,-0.641
set29IT005,0.018
set29IT006,0.232
set29IT007,-0.091
set29IT014,0.084
set29IT015,-0.254
set29IT057,0.134
set29IT058,-0.159
set100IT008,-0.012
set100IT009,-0.122
set100IT010,0.371
set100IT011,-0.017
set100IT012,-0.014
set100IT013,0.079
set100IT014,-0.028
set100IT015,-0.015
set100IT016,0.324
set100IT017,0.158
set100IT018,0.101
set100IT019,0.37
set100IT020,-0.091
set100IT021,-0.13
set100IT022,0.249
set100IT023,-0.126
set100IT024,-0.009
set100IT025,0.2
set100IT026,-0.096
set100IT027,0.049
set100IT028,0.291
set100IT029,0.017
set100IT030,-0.013
set100IT031,0.219
set100IT032,-0.133
set100IT033,-0.031
set100IT034,0.206
set100IT035,-0.099
set100IT036,-0.152
set100IT037,0.2
set100IT038,-0.103
set100IT039,0.582
set100IT040,0.319
set100IT041,-0.088
set100IT042,-0.184
set100IT043,0.333
set100IT044,-0.007
set100IT045,-0.033
set100IT046,0.197
set101IT007,-0.388
set101IT008,0.197
