,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.033,0.012727922061357857,2.0,0.0,0.042,1.0,0.024,,,,
1,set1__Glucose carbon source (20mM),0.006,0.03394112549695428,2.0,2.0,0.03,3.0,-0.018,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.0075,0.05868986283848345,2.0,4.0,-0.034,5.0,0.049,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.0675,0.012020815280171309,2.0,6.0,0.076,7.0,0.059,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.0615,0.06293250352560273,2.0,8.0,0.106,9.0,0.017,,,,
5,set5__D-Glucose carbon source,0.016,0.043840620433565944,2.0,10.0,0.047,11.0,-0.015,,,,
6,set5__Levulinic Acid carbon source,0.044250000000000005,0.049647927113492536,4.0,12.0,0.117,13.0,0.033,14.0,0.02,15.0,0.007
7,set5__Vanillin carbon source,0.0965,0.03181980515339464,2.0,16.0,0.074,17.0,0.119,,,,
8,set5__p-Coumaric acid carbon source,0.141,0.04666904755831213,2.0,18.0,0.108,19.0,0.174,,,,
9,set6__D-Glucose carbon source,0.072,,1.0,20.0,0.072,,,,,,
10,set6__Ferulic Acid carbon source,-0.112,,1.0,21.0,-0.112,,,,,,
11,set6__benzoic acid carbon source,0.069,,1.0,22.0,0.069,,,,,,
12,set6__Valerolactam carbon source,0.066,,1.0,23.0,0.066,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.062,,1.0,24.0,-0.062,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.06,,1.0,25.0,-0.06,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.025,0.04101219330881976,2.0,26.0,0.004,30.0,-0.054,,,,
16,set7__Valerolactam 10 mM carbon source,-0.119,,1.0,27.0,-0.119,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.076,,1.0,28.0,-0.076,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.1225,0.03040559159102153,2.0,29.0,-0.144,31.0,-0.101,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.026,,1.0,32.0,-0.026,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.045,,1.0,33.0,0.045,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.091,,1.0,34.0,-0.091,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.018,0.05939696961966999,2.0,35.0,0.024,47.0,-0.06,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.0695,0.07848885271170677,2.0,36.0,-0.014,49.0,-0.125,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.101,,1.0,37.0,-0.101,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.037,,1.0,38.0,0.037,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.061,,1.0,39.0,-0.061,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.035,,1.0,40.0,0.035,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.151,,1.0,41.0,-0.151,,,,,,
