,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.081,0.3167838379715733,2.0,0.0,-0.305,1.0,0.143,,,,
1,set1__Glucose carbon source (20mM),0.08049999999999999,0.39244426355853385,2.0,2.0,-0.197,3.0,0.358,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.1625,0.0714177848998413,2.0,4.0,-0.112,5.0,-0.213,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.2255,0.1661700935788387,2.0,6.0,0.343,7.0,0.108,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.0685,0.4447701653663384,2.0,8.0,-0.246,9.0,0.383,,,,
5,set5__D-Glucose carbon source,-0.21250000000000002,0.2524371208835975,2.0,10.0,-0.034,11.0,-0.391,,,,
6,set5__Levulinic Acid carbon source,-0.26475,0.08408874280583975,4.0,12.0,-0.39,13.0,-0.231,14.0,-0.209,15.0,-0.229
7,set5__Vanillin carbon source,-0.10799999999999998,0.27011479041326114,2.0,16.0,0.083,17.0,-0.299,,,,
8,set5__p-Coumaric acid carbon source,0.238,0.03394112549695429,2.0,18.0,0.214,19.0,0.262,,,,
9,set6__D-Glucose carbon source,-0.183,,1.0,20.0,-0.183,,,,,,
10,set6__Ferulic Acid carbon source,-0.217,,1.0,21.0,-0.217,,,,,,
11,set6__benzoic acid carbon source,-0.287,,1.0,22.0,-0.287,,,,,,
12,set6__Valerolactam carbon source,-0.219,,1.0,23.0,-0.219,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.164,,1.0,24.0,0.164,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.419,,1.0,25.0,-0.419,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.239,0.21496046148071046,2.0,26.0,-0.391,30.0,-0.087,,,,
16,set7__Valerolactam 10 mM carbon source,-0.666,,1.0,27.0,-0.666,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.522,,1.0,28.0,-0.522,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.536,0.4539625535217635,2.0,29.0,-0.215,31.0,-0.857,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.066,,1.0,32.0,0.066,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.194,,1.0,33.0,0.194,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.032,,1.0,34.0,0.032,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.3475,0.17606958851545032,2.0,35.0,-0.223,47.0,-0.472,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.2465,0.07707463914933367,2.0,36.0,0.192,49.0,0.301,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,0.161,,1.0,37.0,0.161,,,,,,
