k,name,in_iM,gene_weight,regulator,function,category
64,fModule_65,False,0.0380963200047031,DctD-II,,
0,fModule_1,False,-0.0319962284336016,,,
69,fModule_70,False,0.0279902190480758,,,
35,fModule_36,False,-0.0263513647668415,,,
44,fModule_45,False,-0.021865869523688,,,
25,fModule_26,False,0.0209790069531476,,,
81,fModule_82,False,0.0205059991658012,,,
59,fModule_60,False,0.0187496902309738,,,
1,fModule_2,False,-0.0174725925234657,,,
13,fModule_14,False,0.0161096329025023,PP_3359,,
27,fModule_28,False,0.0156644640021814,VanR,,
37,fModule_38,False,0.0155403100621741,,,
40,fModule_41,False,-0.0152428872908124,,,
5,fModule_6,False,0.0151050694372699,GcsR,,
2,fModule_3,False,-0.0149299748865014,,,
17,fModule_18,False,0.0148842119095663,,,
9,fModule_10,False,-0.0138967913484294,,,
39,fModule_40,False,-0.0138684818876056,,,
10,fModule_11,False,0.0138103811023326,PrpR,,
70,fModule_71,False,-0.0134281715610359,,,
48,fModule_49,False,-0.0130680920755469,,,
47,fModule_48,False,0.0130112368757148,,,
56,fModule_57,False,0.0127531049948746,,,
28,fModule_29,False,-0.0124076038259825,,,
38,fModule_39,False,0.0120579588863994,,,
78,fModule_79,False,-0.0119039615813879,,,
74,fModule_75,False,0.0118897864778758,,,
58,fModule_59,False,0.0118340608880065,,,
33,fModule_34,False,-0.0114073241143416,,,
36,fModule_37,False,-0.0113277146983747,,,
49,fModule_50,False,-0.0112554673880424,PP_2046,,
62,fModule_63,False,-0.0108830542874058,,,
32,fModule_33,False,-0.0104144256950559,BirA,,
16,fModule_17,False,0.0102562958789918,PedR1,,
30,fModule_31,False,0.0101406738481172,,,
53,fModule_54,False,0.0099182815788202,,,
80,fModule_81,False,-0.0098118373222268,,,
54,fModule_55,False,-0.0097982628898122,,,
79,fModule_80,False,-0.009420101182529,,,
24,fModule_25,False,-0.0092653037981175,PrpR,,
22,fModule_23,False,0.0091467309660318,,,
21,fModule_22,False,0.0091192679035742,,,
20,fModule_21,False,0.0089029205769786,,,
15,fModule_16,False,-0.0087781850249052,PcaR,,
19,fModule_20,False,0.008308045467388,,,
76,fModule_77,False,0.0080964696102574,PsrA,,
43,fModule_44,False,-0.0075759911847437,,,
72,fModule_73,False,0.0074300633858203,RpoD,,
82,fModule_83,False,0.0074131661415086,,,
71,fModule_72,False,-0.0072220061257205,,,
7,fModule_8,False,0.0071936125887595,GltR-II,,
77,fModule_78,False,0.0070935461425623,,,
66,fModule_67,False,-0.0064589951702142,,,
18,fModule_19,False,-0.0062647504267291,,,
4,fModule_5,False,0.0058306948220138,BenR,,
63,fModule_64,False,-0.0056666366794523,,,
46,fModule_47,False,-0.005439976950613,,,
12,fModule_13,False,0.0049099148917553,ModR,,
41,fModule_42,False,0.0049043123739239,,,
6,fModule_7,False,0.0046243274502983,GbdR,,
34,fModule_35,False,0.0043980009953654,,,
65,fModule_66,False,0.0042310031627488,,,
11,fModule_12,False,0.0042233968128969,BirA,,
60,fModule_61,False,0.0035417008909224,,,
50,fModule_51,False,-0.0035298519479156,,,
42,fModule_43,False,0.003238608420174,PhhR,,
8,fModule_9,False,0.0030727728766233,,,
23,fModule_24,False,0.0028325203997307,,,
51,fModule_52,False,0.0024659870799195,FleQ,,
26,fModule_27,False,-0.0022437228091357,,,
52,fModule_53,False,-0.0022148758790566,PP_5350,,
67,fModule_68,False,0.0018956172996421,,,
3,fModule_4,False,0.0018062073742351,,,
55,fModule_56,False,0.0017903511009527,PydR,,
14,fModule_15,False,-0.0017174439062965,,,
68,fModule_69,False,-0.001326408267065,,,
61,fModule_62,False,-0.0010954276963686,PP_3603,,
45,fModule_46,False,-0.0010352249270016,,,
83,fModule_84,False,0.0010132319035013,,,
31,fModule_32,False,-0.0007361660054872,,,
75,fModule_76,False,-0.0003491961469861,,,
29,fModule_30,False,-0.000247786120049,HutC,,
73,fModule_74,False,0.0001402350052573,,,
57,fModule_58,False,-0.0001173608364237,PrpR,,
