,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.758,0.610940258945177,2.0,0.0,0.326,1.0,1.19,,,,
1,set1__Glucose carbon source (20mM),1.0055,0.23688077169749347,2.0,2.0,1.173,3.0,0.838,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.2575,0.04737615433949867,2.0,4.0,0.291,5.0,0.224,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.9139999999999999,0.11030865786510143,2.0,6.0,0.836,7.0,0.992,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.9625,0.25809397513308985,2.0,8.0,0.78,9.0,1.145,,,,
5,set5__D-Glucose carbon source,0.3795,0.09404520189781083,2.0,10.0,0.313,11.0,0.446,,,,
6,set5__Levulinic Acid carbon source,0.28075,0.23497570796431985,4.0,12.0,0.423,13.0,0.489,14.0,0.248,15.0,-0.037
7,set5__Vanillin carbon source,0.13,0.5656854249492381,2.0,16.0,-0.27,17.0,0.53,,,,
8,set5__p-Coumaric acid carbon source,0.1185,0.14637110370561535,2.0,18.0,0.222,19.0,0.015,,,,
9,set6__D-Glucose carbon source,-0.123,,1.0,20.0,-0.123,,,,,,
10,set6__Ferulic Acid carbon source,-0.371,,1.0,21.0,-0.371,,,,,,
11,set6__benzoic acid carbon source,-0.635,,1.0,22.0,-0.635,,,,,,
12,set6__Valerolactam carbon source,-1.424,,1.0,23.0,-1.424,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.534,,1.0,24.0,-0.534,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.715,,1.0,25.0,0.715,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.2195,0.028991378028648436,2.0,26.0,0.24,30.0,0.199,,,,
16,set7__Valerolactam 10 mM carbon source,0.838,,1.0,27.0,0.838,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.61,,1.0,28.0,0.61,,,,,,
18,set7__D-Lysine 10 mM carbon source,0.42600000000000005,0.028284271247461888,2.0,29.0,0.406,31.0,0.446,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.616,,1.0,32.0,-0.616,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.978,,1.0,33.0,-0.978,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.346,,1.0,34.0,-0.346,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.019000000000000017,1.248750575575443,2.0,35.0,-0.902,47.0,0.864,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.9025,0.6724585489084066,2.0,36.0,-0.427,49.0,-1.378,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,0.154,,1.0,37.0,0.154,,,,,,
