,PP_t29
set1IT078,-1.801
set1IT079,0.405
set1IT080,0.089
set1IT081,-0.626
set1IT082,0.145
set1IT083,0.303
set1IT084,0.071
set1IT085,-0.037
set1IT086,0.082
set1IT087,-0.358
set5IT075,-0.175
set5IT076,-0.136
set5IT081,-0.322
set5IT082,-0.309
set5IT083,-0.006
set5IT084,0.052
set5IT085,-0.637
set5IT086,-0.187
set5IT087,-0.994
set5IT088,-0.339
set6IT057,-0.606
set6IT059,-0.224
set6IT061,-0.766
set6IT064,0.182
set6IT065,-0.917
set7IT042,-0.862
set7IT044,-0.281
set7IT045,-0.367
set7IT055,-0.683
set7IT056,-0.517
set7IT057,0.047
set7IT062,0.37
set8IT058,-2.786
set8IT059,-2.031
set8IT060,-1.03
set8IT062,-1.336
set8IT064,0.757
set8IT070,0.528
set8IT073,-0.174
set8IT080,0.778
set8IT081,0.617
set8IT082,0.907
set8IT084,1.064
set8IT085,1.392
set8IT089,-1.713
set8IT090,0.878
set8IT092,0.223
set8IT093,-0.517
set8IT094,0.322
set8IT095,0.338
set8IT096,0.275
set9IT020,-0.328
set9IT022,-0.21
set9IT025,1.578
set10IT006,-0.249
set10IT008,-0.303
set10IT010,-0.154
set10IT017,-0.954
set10IT018,-0.265
set10IT019,-0.222
set10IT020,0.319
set10IT021,-0.128
set10IT022,0.585
set10IT023,-0.171
set10IT024,-0.06
set10IT025,0.063
set10IT026,-0.38
set10IT027,-0.219
set10IT028,-0.587
set10IT029,-0.246
set10IT031,0.682
set10IT032,0.47
set10IT033,-1.848
set10IT034,-1.469
set10IT035,-0.362
set10IT036,-0.889
set10IT037,-0.313
set10IT043,-0.017
set10IT044,-0.871
set10IT053,0.692
set12IT001,-0.175
set12IT002,0.893
set12IT004,0.61
set12IT007,0.357
set12IT008,0.746
set12IT009,1.104
set12IT014,0.686
set12IT015,0.771
set12IT016,-0.392
set12IT017,0.963
set12IT023,0.444
set12IT024,0.656
set12IT025,0.642
set12IT026,0.333
set12IT027,0.06
set12IT028,0.718
set12IT029,-0.705
set12IT031,-0.064
set12IT032,0.816
set12IT034,-0.79
set12IT037,-0.085
set12IT038,0.311
set12IT039,0.408
set12IT044,-0.017
set12IT046,0.136
set12IT053,0.828
set12IT054,-0.262
set12IT055,0.285
set12IT056,0.053
set12IT057,0.474
set12IT058,0.086
set12IT059,0.041
set15IT054,-1.771
set15IT057,-0.396
set15IT058,-1.342
set15IT059,-0.627
set15IT060,-0.228
set15IT061,0.869
set15IT062,-1.17
set15IT063,1.267
set15IT064,0.066
set15IT065,0.061
set15IT066,-0.593
set15IT067,-1.564
set15IT068,-0.26
set15IT071,-0.469
set15IT072,-0.579
set15IT073,-0.301
set15IT074,-1.496
set15IT075,-0.366
set15IT076,0.026
set15IT077,0.134
set15IT078,-1.667
set15IT079,0.56
set15IT080,-1.837
set15IT081,-0.05
set16IT004,-0.415
set16IT005,0.308
set16IT006,-1.112
set16IT007,-0.454
set16IT008,-0.333
set16IT009,-0.163
set16IT010,-0.582
set16IT011,-0.791
set16IT012,0.599
set16IT013,0.004
set16IT014,-0.126
set16IT015,-0.515
set27IT004,0.065
set27IT005,-0.412
set27IT006,0.58
set27IT007,-0.594
set27IT008,0.527
set27IT009,0.117
set27IT010,0.134
set27IT011,0.058
set27IT012,-0.468
set27IT013,-0.546
set27IT014,-0.287
set27IT015,0.039
set27IT016,0.325
set27IT017,-0.745
set27IT018,-0.009
set27IT019,-0.789
set27IT020,0.109
set27IT021,0.296
set27IT024,1.081
set27IT025,1.153
set27IT028,1.024
set27IT029,0.698
set27IT030,-0.395
set27IT031,-0.41
set27IT032,0.271
set27IT033,-0.183
set27IT034,-0.615
set27IT035,0.139
set27IT036,0.145
set27IT037,0.449
set27IT038,-0.093
set27IT039,-0.128
set27IT040,-0.417
set27IT041,0.323
set27IT042,-0.212
set27IT043,0.243
set27IT044,0.038
set27IT045,-0.206
set27IT046,-0.06
set27IT047,0.068
set27IT048,0.278
set27IT049,0.227
set27IT050,-0.383
set27IT051,0.092
set27IT052,-0.417
set27IT053,0.474
set27IT054,0.564
set27IT055,-0.482
set27IT056,-0.881
set27IT057,0.2
set27IT058,0.279
set27IT059,0.33
set27IT060,-0.923
set27IT061,0.258
set27IT062,-0.254
set27IT063,-0.172
set27IT064,0.343
set27IT065,-0.405
set27IT066,0.427
set27IT067,0.017
set27IT068,-0.587
set27IT069,-0.691
set27IT070,0.476
set27IT071,-0.105
set27IT072,0.021
set27IT073,-0.012
set28IT003,0.273
set28IT004,0.204
set28IT005,0.346
set28IT006,0.294
set28IT007,-0.226
set28IT008,0.517
set28IT009,0.118
set28IT010,0.134
set28IT013,-0.036
set28IT014,0.104
set28IT017,-0.149
set28IT018,0.371
set28IT021,-0.25
set28IT022,0.072
set28IT023,0.0
set28IT024,-0.27
set28IT027,0.569
set28IT028,-0.197
set28IT029,-0.099
set28IT030,0.179
set28IT031,0.122
set28IT032,0.09
set28IT035,0.68
set28IT036,0.895
set28IT037,-0.259
set28IT038,-0.321
set28IT039,0.018
set28IT040,0.075
set28IT041,0.554
set28IT042,-0.349
set28IT045,-0.14
set28IT046,0.235
set29IT004,1.739
set29IT005,0.586
set29IT006,-1.011
set29IT007,0.076
set29IT014,0.098
set29IT015,0.156
set29IT057,-0.026
set29IT058,0.229
set100IT008,0.251
set100IT009,-0.348
set100IT010,0.338
set100IT011,-0.071
set100IT012,-0.599
set100IT013,0.116
set100IT014,-0.484
set100IT015,-0.762
set100IT016,0.524
set100IT017,-0.514
set100IT018,-0.229
set100IT019,0.371
set100IT020,-0.015
set100IT021,-0.486
set100IT022,-0.043
set100IT023,0.08
set100IT024,-0.641
set100IT025,0.464
set100IT026,-0.448
set100IT027,-0.556
set100IT028,0.233
set100IT029,-0.124
set100IT030,-0.373
set100IT031,-0.067
set100IT032,-0.204
set100IT033,-0.635
set100IT034,-0.493
set100IT035,0.059
set100IT036,-0.766
set100IT037,-0.22
set100IT038,0.022
set100IT039,-1.176
set100IT040,-0.931
set100IT041,-0.64
set100IT042,-0.816
set100IT043,-0.54
set100IT044,-0.389
set100IT045,-1.647
set100IT046,-0.372
set101IT007,-0.257
set101IT008,-0.334
set101IT009,-0.195
set101IT013,-0.731
set101IT014,-2.13
set101IT015,0.092
set101IT016,-0.934
set101IT017,-0.229
set101IT018,-0.284
set101IT019,-0.689
set101IT020,0.262
set101IT021,-0.015
set101IT022,-0.661
set101IT023,-0.234
set101IT024,-0.062
set101IT025,-0.88
set101IT026,-0.63
set101IT027,0.285
set101IT028,0.142
set101IT029,-0.042
set101IT030,-0.286
set101IT031,-0.474
set101IT032,-0.002
set101IT033,-0.416
set101IT034,-1.181
set101IT035,-0.842
set101IT036,-0.27
set101IT037,-0.784
set101IT038,-0.479
set101IT039,0.441
