,A,ModR
R2,,0.017334133817855313
xmin,,-0.534
xmid,,-0.23199971714023593
xmax,,0.435
ystart,,1.4199209123315537
yend,,-0.11371275448983864
set1IT078,-0.1126284974568169,-0.056
set1IT079,0.2717328447266522,-0.121
set1IT080,-0.0403228922659434,-0.1
set1IT081,0.104288494123047,0.132
set1IT082,0.4862978068971572,0.1
set1IT083,1.0005703994476678,-0.028
set1IT084,0.9097868225587,0.307
set1IT085,0.776981111385982,0.143
set1IT086,0.3979904926103181,-0.334
set1IT087,0.1374100287985971,0.039
set5IT075,0.1674814103600327,-0.202
set5IT076,0.2529839271973967,-0.069
set5IT081,1.9776865298710604,-0.006
set5IT082,1.55415591105969,-0.275
set5IT083,0.7120786919202515,-0.077
set5IT084,0.7776243017304648,-0.123
set5IT085,17.71844504450178,-0.232
set5IT086,18.80421613106233,-0.049
set5IT087,0.1895455407589962,0.03
set5IT088,0.5098327826127218,-0.136
set6IT057,-0.2655089171953936,0.236
set6IT059,1.0162663200209372,0.315
set6IT061,0.5126295959209418,0.154
set6IT064,0.1193066595764871,-0.012
set6IT065,0.7184678106510131,0.019
set7IT042,0.6608516331047865,0.112
set7IT044,0.2135176118179503,-0.026
set7IT045,-0.194786405277017,-0.126
set7IT055,0.8533166424236132,-0.205
set7IT056,0.4416274153035081,-0.126
set7IT057,0.3701559038789501,-0.148
set7IT062,0.9274287117714816,-0.189
set8IT058,0.6544342327311076,0.024
set8IT059,0.7238270552569199,-0.012
set8IT060,1.6590341021355608,-0.194
set8IT062,0.7646373459975425,0.172
set8IT064,1.0445383523070442,0.114
set8IT070,0.7117248463790918,0.372
set8IT073,0.2888701830912209,0.14
set8IT080,-0.1329458067833126,0.193
set8IT081,-0.1997834154981234,-0.103
set8IT082,-0.2065895047812911,0.279
set8IT084,-0.5096964559236737,0.237
set8IT085,0.660842280114442,0.095
set8IT089,0.8076166500696311,0.05
set8IT090,0.6277952808633779,-0.005
set8IT092,1.3832089812413948,0.103
set8IT093,0.1130307015856371,-0.005
set8IT094,-0.1789941375909395,-0.008
set8IT095,0.3654627128213772,0.21
set8IT096,0.0615386747517509,-0.067
set9IT020,-1.6381085397939796,-0.409
set9IT022,-1.2552966006583273,-0.18
set9IT025,-1.8391492127987576,-0.404
set10IT006,-0.6499076103475917,0.087
set10IT008,1.535344789127465,0.346
set10IT010,1.730567134255741,0.063
set10IT017,0.0789359259810286,-0.213
set10IT018,-0.0394892021151089,0.042
set10IT019,-0.5183365455150716,-0.047
set10IT020,0.1233074664985656,0.04
set10IT021,-0.5580574828921873,0.248
set10IT022,0.5002617821304467,0.004
set10IT023,0.1087925453370032,0.1
set10IT024,0.0383816590845634,0.078
set10IT025,0.6089790792780074,-0.01
set10IT026,-0.2950656710610544,-0.073
set10IT027,0.6823714149819686,-0.13
set10IT028,-0.1472507709008168,0.007
set10IT029,-0.0746529893461894,-0.096
set10IT031,0.2749728019603942,-0.203
set10IT032,-0.4454267270925942,-0.088
set10IT033,-0.2601377371814999,0.022
set10IT034,0.0665550603401641,-0.267
set10IT035,0.4175266832535048,-0.147
set10IT036,-0.4577069161503337,-0.173
set10IT037,0.201546571295567,0.022
set10IT043,0.2737563467146081,-0.085
set10IT044,0.7198646949436405,-0.185
set10IT053,0.9652638997662216,0.435
set12IT001,9.99379521405996,-0.173
set12IT002,1.1960976925060136,-0.062
set12IT004,0.9243124022489084,0.227
set12IT007,1.5171715170862716,0.039
set12IT008,5.572440484092265,-0.053
set12IT009,2.3553291061196355,-0.326
set12IT014,1.0264929154753897,0.317
set12IT015,0.8622572046672394,0.054
set12IT016,0.905183335151836,0.032
set12IT017,1.1987997015711227,0.337
set12IT023,1.0374121841737587,0.02
set12IT024,1.865083378585609,-0.136
set12IT025,1.1171043968030037,0.088
set12IT026,1.5915852077539183,-0.089
set12IT027,0.737655652274539,0.362
set12IT028,0.5674306270427312,0.003
set12IT029,0.8959112297539759,0.092
set12IT031,12.797111951054458,-0.215
set12IT032,1.5425414032546307,-0.087
set12IT034,1.28546529457551,0.185
set12IT037,2.1087710728570617,0.039
set12IT038,4.831609995774085,-0.401
set12IT039,2.489255974832393,-0.332
set12IT044,1.5219335447840805,0.186
set12IT046,1.20973748812071,0.027
set12IT053,1.7632007803681318,0.212
set12IT054,1.0069688198214235,0.24
set12IT055,0.6755158488263975,0.015
set12IT056,1.5119129801569642,0.025
set12IT057,0.3585626109165236,0.133
