locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PcaR,link
PP_3951,0.3935858144868626,pcaI,3-oxoadipate CoA-transferase subunit A,Lipid transport and metabolism,Op2581,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3951&e1=1&assembly=complete
PP_3952,0.3670386328003225,pcaJ,3-oxoadipate CoA-transferase subunit A,Lipid transport and metabolism,Op2581,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3952&e1=1&assembly=complete
PP_1377,0.3506727417249234,pcaF-I,beta-ketoadipyl-CoA thiolase,Lipid transport and metabolism,Op862,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1377&e1=1&assembly=complete
PP_1380,0.3057414669931936,pcaD,3-oxoadipate enol-lactonase 2,Function unknown,Op863,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1380&e1=1&assembly=complete
PP_1379,0.2936321325923482,pcaB,3-carboxy-cis%2Ccis-muconate cycloisomerase,Nucleotide transport and metabolism,Op863,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1379&e1=1&assembly=complete
PP_1375,0.2583040907689751,pcaR,transcription regulatory protein (pca regulon),Transcription,Op860,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1375&e1=1&assembly=complete
PP_4656,0.2050295653115828,pcaH,protocatechuate 3%2C4-dioxygenase beta chain,"Secondary metabolites biosynthesis, transport, and catabolism",Op3036,"TurA,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4656&e1=1&assembly=complete
PP_4655,0.1822943155974621,pcaG,protocatechuate 3%2C4-dioxygenase alpha chain,"Secondary metabolites biosynthesis, transport, and catabolism",Op3036,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4655&e1=1&assembly=complete
PP_1381,0.1446493680879773,pcaC,4-carboxymuconolactone decarboxylase,Function unknown,Op863,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1381&e1=1&assembly=complete
PP_1713,0.1209922339487333,pcaQ,Transcriptional regulator PcaQ,Transcription,Op1069,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1713&e1=1&assembly=complete
PP_3537,0.1076423510828775,pobA,p-hydroxybenzoate hydroxylase,Energy production and conversion,Op2293,"PcaR,PobR,AmrZ,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3537&e1=1&assembly=complete
PP_3538,0.0972149466842069,pobR,transcriptional regulator,Transcription,Op2294,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3538&e1=1&assembly=complete
PP_1378,0.0899156861501247,pcaT,alpha-ketoglutarate permease,Amino acid transport and metabolism,Op863,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1378&e1=1&assembly=complete
PP_3590,0.0819274221296957,amaC,D-lysine aminotransferase,Amino acid transport and metabolism,Op2335,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3590&e1=1&assembly=complete
PP_5085,0.0588973200426838,maeB,malic enzyme B,Energy production and conversion,Op3312,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5085&e1=1&assembly=complete
PP_3164,0.0583955301286784,benD,1%2C6-dihydroxycyclohexa-2%2C4-diene-1-carboxylate dehydrogenase,Lipid transport and metabolism,Op2053,BenR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3164&e1=1&assembly=complete
