,A,PcaR
R2,,0.915075282793657
xmin,,-0.858
xmid,,-0.04800837888096828
xmax,,7.015
ystart,,-0.07975707821658784
yend,,24.026799459078905
set1IT078,-0.4745462477753923,0.142
set1IT079,-0.505298367947565,0.096
set1IT080,-0.7140365310483158,-0.021
set1IT081,-0.3200375937900427,0.004
set1IT082,0.0961594633366785,-0.025
set1IT083,-0.1660569121082992,-0.106
set1IT084,-0.7830531185621356,-0.648
set1IT085,-0.9417191235029436,-0.717
set1IT086,-0.3679673043164696,-0.282
set1IT087,-0.4854862082318211,-0.307
set5IT075,-0.2192882375124368,0.073
set5IT076,-0.3336561009193415,0.034
set5IT081,0.1194973716428176,-0.113
set5IT082,-0.0107387261908152,-0.295
set5IT083,0.1199402331515224,-0.123
set5IT084,0.0952531203823855,-0.233
set5IT085,15.910596327311923,4.608
set5IT086,16.078437160855586,4.991
set5IT087,17.392481248848114,4.961
set5IT088,15.847904340254956,4.154
set6IT057,-0.5628988101753981,-0.053
set6IT059,9.192306013319044,1.761
set6IT061,9.841869258155386,4.393
set6IT064,0.9623025995965232,0.003
set6IT065,0.0097855596310491,-0.183
set7IT042,0.1719070201261802,0.028
set7IT044,0.0139262150632557,0.158
set7IT045,-0.0789483289149094,0.047
set7IT055,0.7377349229360418,0.095
set7IT056,1.3315575439001288,0.068
set7IT057,-0.2732607454988212,0.049
set7IT062,0.9601974074445228,-0.018
set8IT058,-0.0047431330863761,-0.088
set8IT059,-0.4466215834044098,0.072
set8IT060,0.0639878824955861,0.181
set8IT062,-0.0447664755714909,0.08
set8IT064,0.1049155990364833,-0.23
set8IT070,-0.2128697390969497,0.006
set8IT073,0.1115257797039292,-0.052
set8IT080,0.1714123936441977,-0.004
set8IT081,0.0956386484758132,0.001
set8IT082,0.5056330586816498,0.042
set8IT084,0.0589689161077606,0.194
set8IT085,-0.3036839822202239,0.179
set8IT089,0.0202736059848989,-0.152
set8IT090,0.1247093226544081,-0.244
set8IT092,0.261873659228406,-0.217
set8IT093,0.0922633901262322,-0.325
set8IT094,0.7946325215898287,-0.247
set8IT095,-0.0517945480869772,-0.161
set8IT096,-0.3766190661688371,-0.212
set9IT020,0.4384422531308413,-0.061
set9IT022,1.0634582761804297,0.225
set9IT025,0.045781563695343,0.024
set10IT006,0.0452906194058405,0.448
set10IT008,0.1060499450194229,-0.068
set10IT010,0.1140273426447796,0.242
set10IT017,-0.3844911785651358,0.047
set10IT018,0.2037315571594047,-0.003
set10IT019,-0.0885172466496661,0.006
set10IT020,-0.2597696242493474,0.148
set10IT021,-0.3547059746982178,0.034
set10IT022,0.0268370934195099,-0.233
