,A,HutC
R2,,0.14956355310764813
xmin,,-4.643
xmid,,-1.271001586493978
xmax,,5.194
ystart,,-10.317175780146535
yend,,3.6308127861696367
set1IT078,-11.326995348848314,-0.769
set1IT079,-11.155034894599758,-1.006
set1IT080,-10.471985596690986,-0.828
set1IT081,-10.983189332625,-1.143
set1IT082,-8.869632249919572,-1.162
set1IT083,-8.371907023081608,-0.988
set1IT084,-9.99844046916845,-2.409
set1IT085,-8.736284279058987,-1.971
set1IT086,-8.223619805740277,-0.798
set1IT087,-7.921128146343672,-1.404
set5IT075,-11.344643227854242,-0.305
set5IT076,-11.352800593120543,-0.545
set5IT081,-12.359383333616952,-1.237
set5IT082,-9.571369441262412,-0.795
set5IT083,-11.289314250200452,-0.62
set5IT084,-11.33441304240472,-0.728
set5IT085,-11.868133720701309,-1.035
set5IT086,-12.37393911115831,-1.005
set5IT087,-11.600823651720033,-1.217
set5IT088,-11.733024135485048,-1.048
set6IT057,-7.1151028355200605,-0.406
set6IT059,-7.025938088156335,-0.605
set6IT061,-6.918995864369131,-0.109
set6IT064,-6.148931907643076,-0.617
set6IT065,-7.826383759289282,-0.394
set7IT042,-7.28472534808856,-0.329
set7IT044,-7.454969738671231,-0.551
set7IT045,-6.056619626962721,-0.575
set7IT055,-9.118594797829155,-0.835
set7IT056,-6.592150622042202,-0.877
set7IT057,-8.137743804409405,-0.717
set7IT062,-9.9400985036048,-0.938
set8IT058,-5.191163785999989,0.066
set8IT059,-8.850253774436354,-0.132
set8IT060,-6.823869063883693,-0.386
set8IT062,-8.411688648593259,-0.946
set8IT064,-7.730146239542248,0.088
set8IT070,-7.547100772157138,0.057
set8IT073,-6.192260255093762,0.035
set8IT080,-5.961695623124292,-0.158
set8IT081,-7.904765959199508,-0.124
set8IT082,-5.2595194747419045,0.224
set8IT084,-7.422594142032933,0.015
set8IT085,-6.63617353448965,-0.306
set8IT089,-7.85379631632741,-0.625
set8IT090,-10.11636430202216,-0.763
set8IT092,-6.79044318649618,-0.817
set8IT093,-6.778779282293938,-1.041
set8IT094,-7.182781412708312,-0.956
set8IT095,-6.363459221702836,-0.948
set8IT096,-7.765255369892981,-1.653
set9IT020,2.743689365573657,-0.361
set9IT022,2.717669853759154,-0.104
set9IT025,5.923411801933136,0.144
set10IT006,-7.120989007645811,-0.705
set10IT008,-7.847648919653003,-1.143
set10IT010,7.869323402424524,1.753
set10IT017,-0.350975411529027,-0.068
set10IT018,-1.6830853623021629,0.075
set10IT019,-1.2105972094896762,-0.028
set10IT020,-1.3856727253582373,0.026
set10IT021,0.555825358237757,-0.299
set10IT022,-0.4994414894963886,0.033
set10IT023,-1.2544213661658323,-0.053
set10IT024,-1.5991148652414156,0.044
set10IT025,-10.884697774707377,0.0
set10IT026,-0.8472387804936972,0.169
set10IT027,-0.6830129482659246,-0.115
set10IT028,-1.0638497232405766,-0.118
set10IT029,-0.3840249369156514,0.198
set10IT031,-1.101342801513598,0.029
set10IT032,-1.3908485838666176,-0.179
set10IT033,0.8478140719114006,-0.533
set10IT034,-1.302579515037589,0.018
set10IT035,-0.8674824872885749,-0.16
set10IT036,-1.2832702496916943,-0.12
set10IT037,-1.0276595547607454,-0.258
set10IT043,-6.460996986645842,-0.419
set10IT044,-5.026552355788437,-0.296
set10IT053,-6.30527397452216,-0.782
set12IT001,-12.914937790609695,-0.818
set12IT002,-10.826356474101974,-0.602
set12IT004,-12.580187256943184,-0.712
set12IT007,-8.877288304797744,-1.156
set12IT008,-9.687219335330736,-0.285
set12IT009,-9.658612154778778,-1.115
set12IT014,-11.4734138885341,-0.913
set12IT015,-10.404621747732042,-1.081
set12IT016,-12.90035493748421,-1.036
set12IT017,-12.418731276010387,-1.691
set12IT023,-10.795774870101274,-1.28
set12IT024,-12.442744509217771,-1.148
set12IT025,-12.529205430584204,-1.415
set12IT026,-11.963200941804825,-1.117
set12IT027,-11.862335175245454,-0.601
set12IT028,-10.682313050416523,-1.053
set12IT029,-12.627294655046969,-2.779
set12IT031,-12.394913126063232,-1.055
set12IT032,-12.520717802324432,-0.622
set12IT034,-10.99283742979451,-1.182
set12IT037,-8.912152033943109,-1.059
set12IT038,-9.809466040346758,-0.58
set12IT039,-11.650380994001834,-1.532
set12IT044,-11.643898456889088,-1.271
set12IT046,-11.910854573881368,-1.005
set12IT053,-12.276439862982448,-0.951
set12IT054,-11.413852038762297,-1.168
set12IT055,-12.403673662252272,-0.72
set12IT056,-12.16553195532573,-1.62
set12IT057,-11.286692344786797,-0.615
set12IT058,-10.770338687508636,-0.829
set12IT059,-12.933005768501996,-1.656
set15IT054,-4.409289924180803,-0.388
set15IT057,-9.07966645421556,-1.046
set15IT058,-10.491333698506375,-1.366
set15IT059,-10.941827037550842,-0.892
set15IT060,-8.352520403603757,-1.011
set15IT061,-10.758436762494073,-1.37
set15IT062,-10.686353859181876,-0.775
set15IT063,-8.7766695569875,-0.953
set15IT064,-11.8537773285676,-1.36
set15IT065,-8.41721902016102,-1.045
set15IT066,-11.963331953618129,-0.949
set15IT067,-10.300102374330308,-1.216
set15IT068,-7.762719663839445,-0.76
set15IT071,-9.587845396486577,-0.456
