locus,gene_weight,gene_name,gene_product,cog,operon,regulator,BirA,link
PP_4067,0.2876330129738676,mccA,methylcrotonyl-CoA carboxylase biotin-containing subunit alpha,Lipid transport and metabolism,Op2652,LiuR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4067&e1=1&assembly=complete
PP_4066,0.28116808109916,liuC,methylglutaconyl-CoA hydratase,Lipid transport and metabolism,Op2652,LiuR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4066&e1=1&assembly=complete
PP_4065,0.2686476644153213,mccB,methylcrotonyl-CoA carboxylase biotin-containing subunit beta,Lipid transport and metabolism,Op2652,LiuR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4065&e1=1&assembly=complete
PP_4064,0.2259345107602616,ivd,isovaleryl-CoA dehydrogenase,Energy production and conversion,Op2652,LiuR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4064&e1=1&assembly=complete
PP_0366,0.1739343637820068,bioD,dethiobiotin synthetase,Coenzyme transport and metabolism,Op250,BirA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0366&e1=1&assembly=complete
PP_0362,0.1718975745048687,bioB,Biotin synthase,Coenzyme transport and metabolism,Op250,"AlgR,BirA,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0362&e1=1&assembly=complete
PP_0363,0.1688106313371017,bioF,8-amino-7-oxononanoate synthase,Coenzyme transport and metabolism,Op250,BirA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0363&e1=1&assembly=complete
PP_4984,0.1580402570400189,bioA,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,Coenzyme transport and metabolism,Op3251,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4984&e1=1&assembly=complete
PP_0364,0.1513307889886019,bioH,pimeloyl-[acp] methyl ester esterase,Function unknown,Op250,"BirA,GacA",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0364&e1=1&assembly=complete
PP_0365,0.1443965095572906,bioC,Malonyl-[acyl-carrier protein] O-methyltransferase,Coenzyme transport and metabolism,Op250,BirA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0365&e1=1&assembly=complete
PP_3122,0.128510914526741,atoA,acetoacetyl CoA-transferase (subunit A),Lipid transport and metabolism,Op2029,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3122&e1=1&assembly=complete
PP_3123,0.1245653082481809,atoB,acetoacetyl CoA-transferase (subunit B),Lipid transport and metabolism,Op2029,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3123&e1=1&assembly=complete
