locus,gene_weight,gene_name,gene_product,cog,operon,regulator,BenR,link
PP_3164,0.3530644648730836,benD,1%2C6-dihydroxycyclohexa-2%2C4-diene-1-carboxylate dehydrogenase,Lipid transport and metabolism,Op2053,BenR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3164&e1=1&assembly=complete
PP_3715,0.2856235681908212,catB,Muconate cycloisomerase 1,Cell wall/membrane/envelope biogenesis,Op2436,CatR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3715&e1=1&assembly=complete
PP_3714,0.2646841013397272,catC,Muconolactone Delta-isomerase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2436,CatR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3714&e1=1&assembly=complete
PP_3716,0.251383560181571,catR,HTH-type transcriptional regulator,Transcription,Op2437,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3716&e1=1&assembly=complete
PP_3163,0.1434372472971014,benC,benzoate 1%2C2-dioxygenase electron transfer component,Energy production and conversion,Op2053,BenR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3163&e1=1&assembly=complete
PP_3162,0.1405978667049075,benB,benzoate 1%2C2-dioxygenase subunit beta,"Secondary metabolites biosynthesis, transport, and catabolism",Op2053,"TurA,BenR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3162&e1=1&assembly=complete
PP_3159,0.1270007251776624,benR,BenABC operon transcriptional activator,Transcription,Op2051,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3159&e1=1&assembly=complete
PP_3161,0.1182176262414772,benA,benzoate 1%2C2-dioxygenase subunit alpha,Inorganic ion transport and metabolism,Op2053,BenR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3161&e1=1&assembly=complete
PP_1713,-0.1543495583503508,pcaQ,Transcriptional regulator PcaQ,Transcription,Op1069,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1713&e1=1&assembly=complete
PP_1381,-0.1911927220007368,pcaC,4-carboxymuconolactone decarboxylase,Function unknown,Op863,PcaR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1381&e1=1&assembly=complete
PP_4655,-0.1987993542914953,pcaG,protocatechuate 3%2C4-dioxygenase alpha chain,"Secondary metabolites biosynthesis, transport, and catabolism",Op3036,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4655&e1=1&assembly=complete
PP_1379,-0.2172895375186136,pcaB,3-carboxy-cis%2Ccis-muconate cycloisomerase,Nucleotide transport and metabolism,Op863,PcaR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1379&e1=1&assembly=complete
PP_4656,-0.2279282850094609,pcaH,protocatechuate 3%2C4-dioxygenase beta chain,"Secondary metabolites biosynthesis, transport, and catabolism",Op3036,"TurA,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4656&e1=1&assembly=complete
