,A,BenR
R2,,0.7987322168859042
xmin,,-0.364
xmid,,0.2629994279519361
xmax,,3.162
ystart,,-0.003266862068302512
yend,,19.99577984274151
set1IT078,0.1593312798990249,0.014
set1IT079,0.1949902481824244,0.192
set1IT080,0.357937280772816,-0.068
set1IT081,0.3885044833542692,0.103
set1IT082,-0.4014476122299834,-0.155
set1IT083,0.7980144287959338,-0.09
set1IT084,0.2567072728452035,0.056
set1IT085,0.5705220661182003,-0.02
set1IT086,-0.0094796856810422,0.003
set1IT087,0.0339244084788722,0.238
set5IT075,0.7657509920384294,0.204
set5IT076,0.9231956654278034,-0.003
set5IT081,-0.1660186871037676,0.016
set5IT082,-0.5289603222555793,0.024
set5IT083,0.6009700737706746,0.088
set5IT084,0.1800128245807241,0.072
set5IT085,-2.85318998090041,0.152
set5IT086,-2.3473735761598964,0.283
set5IT087,-2.519605741636123,0.188
set5IT088,-1.9887809657343745,-0.002
set6IT057,0.0608695801496487,-0.057
set6IT059,-0.0795406170840347,-0.169
set6IT061,8.514909916679612,0.673
set6IT064,0.6809769017556888,-0.071
set6IT065,0.0239312526041086,-0.023
set7IT042,-0.1468541129526456,0.064
set7IT044,-0.3968103658061733,-0.058
set7IT045,0.4361533317922185,0.06
set7IT055,0.2461320562122617,0.141
set7IT056,0.4764085113177932,-0.149
set7IT057,-0.4072412472463275,0.178
set7IT062,0.4417591434915885,0.094
set8IT058,-0.0666751730908624,0.071
set8IT059,-0.7087684787927311,-0.049
set8IT060,0.0984161208514218,0.192
set8IT062,-0.2868007083589157,0.043
set8IT064,-0.5889304707917064,-0.159
set8IT070,0.0076041384774964,0.061
set8IT073,-1.083044022184626,-0.364
set8IT080,-0.1154296607562815,0.022
set8IT081,0.181598284342204,0.138
set8IT082,0.9152849381932938,0.167
set8IT084,-0.2602391402201291,0.176
set8IT085,-0.2247459605005766,0.259
set8IT089,-0.6150551084058064,0.194
set8IT090,0.6045408791353932,0.198
set8IT092,0.2351456849234713,0.16
set8IT093,-0.0776957564831297,0.129
set8IT094,0.0378363755190505,0.348
set8IT095,-0.1844083018484772,0.149
set8IT096,0.0244440618355599,0.283
set9IT020,-0.3899260766826133,0.02
set9IT022,0.719379480705445,-0.034
set9IT025,0.3069689422965377,0.03
set10IT006,0.1314679676466834,0.006
set10IT008,-0.5499333093567281,-0.005
set10IT010,-0.3771439974420992,0.07
set10IT017,-0.2132572572261035,-0.154
set10IT018,-0.1692001921206826,-0.053
