,A,PhhR
R2,,0.4700298407522082
xmin,,-0.285
xmid,,0.3061026046224097
xmax,,3.294
ystart,,1.1124138450999956
yend,,13.289373247991325
set1IT078,1.261353232947739,0.046
set1IT079,1.6372693925586137,-0.017
set1IT080,1.3417789488203342,0.101
set1IT081,1.7407842105446532,-0.055
set1IT082,1.913885219633347,0.091
set1IT083,2.041550373921414,0.116
set1IT084,1.1797239153249126,-0.139
set1IT085,-0.3357626941930284,-0.244
set1IT086,0.1339036759071638,-0.097
set1IT087,0.0626565955604854,-0.235
set5IT075,0.7994472161015155,0.103
set5IT076,0.6711069751180159,0.143
set5IT081,0.6641629157142432,0.165
set5IT082,0.4245314482219953,-0.036
set5IT083,-0.4667031080668793,-0.027
set5IT084,0.107634076600701,0.1
set5IT085,0.4895149548075263,-0.05
set5IT086,0.6399506232396741,0.12
set5IT087,1.087680331734877,0.053
set5IT088,1.920694851819203,0.11
set6IT057,1.4470117082228993,0.08
set6IT059,1.2543732753892127,-0.173
set6IT061,1.6734312076271374,-0.07
set6IT064,1.251583366522958,0.016
set6IT065,0.7224664174888438,0.019
set7IT042,2.2972492866717027,0.387
set7IT044,1.736681652498645,-0.051
set7IT045,1.3789576697089072,0.064
set7IT055,0.5676126396073399,0.302
set7IT056,-0.0902703238184276,0.282
set7IT057,0.8917320568224768,0.036
set7IT062,0.8094561333047834,0.111
set8IT058,1.2682010997833078,-0.113
set8IT059,1.4342712618402556,0.015
set8IT060,-1.1849813716465618,0.111
set8IT062,-0.7299428456248771,0.038
set8IT064,-0.6157346703085051,0.09
set8IT070,-0.600064988192788,-0.049
set8IT073,1.259136742265064,0.138
set8IT080,-0.9663640389622014,-0.004
set8IT081,-0.1903422509259457,0.06
set8IT082,0.1978765348270567,0.159
set8IT084,-0.3098635213585985,0.128
set8IT085,-0.0299667132742269,0.184
set8IT089,-0.499044615536232,-0.01
set8IT090,0.4589225684275969,0.01
set8IT092,-1.3815224915013884,0.036
set8IT093,-1.3317574337033422,0.146
set8IT094,0.4514969517186062,0.017
set8IT095,-1.619181024154565,0.144
set8IT096,0.3146261902732691,0.086
set9IT020,-1.048250578692097,0.007
set9IT022,-1.3611011551290264,0.216
set9IT025,-1.2098279178217388,0.115
set10IT006,0.3332052051585096,0.183
set10IT008,3.2431879044905605,0.202
set10IT010,1.7043467380804906,0.159
set10IT017,1.828036737548129,0.06
set10IT018,1.581688625401544,-0.005
set10IT019,2.037994567855265,-0.012
set10IT020,1.4907949785040169,0.015
set10IT021,2.5612546417233943,-0.063
set10IT022,2.233796072215944,0.012
set10IT023,2.382667554176723,0.092
set10IT024,3.301760242003608,-0.061
set10IT025,1.797152454161924,0.041
set10IT026,2.009073394133354,-0.102
set10IT027,2.1687875336005127,0.001
set10IT028,2.3509757092689507,-0.206
set10IT029,1.91276155159224,-0.062
set10IT031,1.6635200961480086,-0.013
set10IT032,2.209163788064215,0.026
set10IT033,2.532661637822974,-0.235
set10IT034,1.8664292254234147,-0.029
set10IT035,2.006703494221341,-0.029
set10IT036,1.9055640171660604,0.083
set10IT037,2.058038522989973,0.052
set10IT043,1.9242046956536152,-0.013
set10IT044,-0.063857172574653,-0.0
set10IT053,0.4798439082275469,0.018
set12IT001,1.356657631953697,0.079
set12IT002,0.9840704709628753,0.039
set12IT004,2.7841665434063803,-0.068
set12IT007,1.5509309327326986,-0.078
set12IT008,-0.7146511958125364,-0.04
set12IT009,1.2192026326728769,0.069
set12IT014,2.8165602069244544,-0.045
set12IT015,1.0714340057918428,-0.031
set12IT016,2.381195259999957,-0.202
set12IT017,2.0587961469352485,-0.174
set12IT023,1.539653166436925,0.096
set12IT024,0.4666391151354308,-0.065
set12IT025,2.7990654965280792,-0.157
set12IT026,2.399620425663897,-0.034
set12IT027,1.7985434715742872,-0.147
set12IT028,1.10159746745202,0.123
set12IT029,1.874322320562663,0.013
set12IT031,0.7945228182160234,0.09
set12IT032,1.3553484046350832,-0.086
set12IT034,1.3147890211373592,-0.068
set12IT037,1.211853219924053,0.011
set12IT038,-0.7014858729833376,-0.016
set12IT039,0.6982260149163472,-0.09
set12IT044,2.731939464480029,-0.285
set12IT046,4.131940629482608,-0.036
set12IT053,2.269633092269866,0.087
set12IT054,0.958016999376306,0.003
set12IT055,2.7822891028218923,-0.077
set12IT056,2.575078492865482,-0.11
set12IT057,1.9301885352886508,-0.153
set12IT058,1.0435083634282936,0.001
set12IT059,2.376503961680824,-0.243
set15IT054,-0.0867308465351388,-0.018
set15IT057,0.6872695061547138,-0.004
set15IT058,1.485083335439829,0.034
set15IT059,0.2153204973000139,0.081
set15IT060,0.3795927710841852,-0.08
set15IT061,1.8251343099938904,0.248
set15IT062,2.6803972701538465,0.045
set15IT063,1.8524197577731305,-0.216
