locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FleQ,link
PP_4390,0.1313446189691423,flgC,flagellar basal-body rod protein FlgC,Cell motility,Op2825,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4390&e1=1&assembly=complete
PP_4352,0.1295624221076415,flhB,flagellin export apparatus%2C substrate specificity protein,Cell motility,Op2813,"AlgR,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4352&e1=1&assembly=complete
PP_4355,0.1229421879080324,fliP,flagellar export apparatus subunit,Cell motility,Op2813,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4355&e1=1&assembly=complete
PP_4391,0.1225205097025281,flgB,flagellar basal-body rod protein FlgB,Cell motility,Op2825,"FleQ,CbrB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4391&e1=1&assembly=complete
PP_4394,0.1223681410167365,flgA,flagella basal body P-ring formation protein,Cell motility,Op2828,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4394&e1=1&assembly=complete
PP_4386,0.122335565365319,flgF,flagellar basal-body rod protein FlgF,Cell motility,Op2823,"FleR,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4386&e1=1&assembly=complete
PP_4383,0.1212031308254573,flgI,Flagellar P-ring protein,Cell motility,Op2823,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4383&e1=1&assembly=complete
PP_4384,0.1189518033224871,flgH,Flagellar L-ring protein,Cell motility,Op2823,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4384&e1=1&assembly=complete
PP_4356,0.118576147909149,fliO,Flagellar protein FliO,Cell motility,Op2813,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4356&e1=1&assembly=complete
PP_4385,0.116721820591084,flgG,flagellar basal-body rod protein FlgG,Cell motility,Op2823,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4385&e1=1&assembly=complete
PP_4354,0.1153387172513368,fliQ,flagellar export apparatus subunit,Cell motility,Op2813,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4354&e1=1&assembly=complete
PP_4353,0.1132901100314239,fliR,Flagellar biosynthetic protein fliR,Cell motility,Op2813,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4353&e1=1&assembly=complete
PP_4361,0.1128449986555513,fliK,Flagellar hook-length control protein FliK,Cell motility,Op2814,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4361&e1=1&assembly=complete
PP_4382,0.1125815061567181,flgJ,Peptidoglycan hydrolase FlgJ,Cell motility,Op2823,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4382&e1=1&assembly=complete
PP_4396,0.1111750423734792,PP_4396,conserved protein of unknown function,Cell motility,Op2829,"FliA,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4396&e1=1&assembly=complete
PP_4381,0.109547891834029,flgK,Flagellar hook-associated protein FlgK,Cell motility,Op2823,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4381&e1=1&assembly=complete
PP_4344,0.1095097105591584,flhA,flagellar export pore protein,Cell motility,Op2809,"GacA,FleN,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4344&e1=1&assembly=complete
PP_4366,0.1088653798109263,fliI,flagellum-specific ATP synthase,Cell motility,Op2817,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4366&e1=1&assembly=complete
PP_4388,0.1086558073986393,flgE,Flagellar hook protein FlgE,Cell motility,Op2825,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4388&e1=1&assembly=complete
PP_4370,0.1077294595408605,fliE,Flagellar hook-basal body complex protein FliE,Cell motility,Op2817,"FleR,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4370&e1=1&assembly=complete
PP_4369,0.1045785703942775,fliF,Flagellar M-ring protein,Cell motility,Op2817,"TurA,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4369&e1=1&assembly=complete
PP_4341,0.1040219078399428,fliA,RNA polymerase sigma 28 (sigma F) factor for class III flagellar operons,Transcription,Op2808,FleN,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4341&e1=1&assembly=complete
PP_4365,0.1013784032396499,fliJ,Flagellar protein FliJ,Cell motility,Op2817,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4365&e1=1&assembly=complete
PP_4368,0.1013308443463645,fliG,flagellar motor switch protein,Cell motility,Op2817,"AlgR,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4368&e1=1&assembly=complete
PP_4378,0.1013185748670411,fliC,flagellin%2C filament structural protein,Cell motility,Op2821,FliA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4378&e1=1&assembly=complete
