,A,FleQ
R2,,0.10336398189305118
xmin,,-0.696
xmid,,
xmax,,3.548
ystart,,-0.5721428275118859
yend,,4.041582292118608
set1IT078,0.9004663573596235,0.579
set1IT079,1.290235726780576,0.607
set1IT080,1.100040544070937,0.639
set1IT081,1.2404878025280062,0.651
set1IT082,0.7142422169583997,1.793
set1IT083,1.9753394008455425,2.475
set1IT084,0.9612681849279592,1.04
set1IT085,0.172289788758695,1.221
set1IT086,0.9882538917462602,1.222
set1IT087,0.8925051081309385,1.439
set5IT075,0.8673313687363035,0.518
set5IT076,0.54955356224555,0.578
set5IT081,0.2374371291933082,0.443
set5IT082,2.208097315430478,0.792
set5IT083,2.809373237403071,0.755
set5IT084,2.915376083519442,0.707
set5IT085,-4.1748710082807685,-0.362
set5IT086,-5.36923523935392,-0.325
set5IT087,2.815916313940264,1.047
set5IT088,2.716908362117279,1.025
set6IT057,1.1390288732401823,0.483
set6IT059,3.362380741514499,0.477
set6IT061,1.3013353683626414,-0.409
set6IT064,0.8387383655355718,-0.231
set6IT065,7.360214936099973,0.559
set7IT042,0.0329173220144025,0.413
set7IT044,-0.6648152378908141,0.706
set7IT045,1.435728406731151,0.515
set7IT055,-0.436939211539145,1.0
set7IT056,1.8415359279206127,0.243
set7IT057,-1.089906749725814,0.661
set7IT062,1.9804826858453388,0.451
set8IT058,-0.5598763051022906,0.546
set8IT059,-2.0263000770729107,0.599
set8IT060,-0.8212326321297064,0.864
set8IT062,0.3584180149081168,0.794
set8IT064,-1.7426145700716509,0.785
set8IT070,-0.3460426151759775,0.352
set8IT073,-4.959192012046863,0.297
set8IT080,0.5571838259680846,0.211
set8IT081,0.3847438309983647,0.557
set8IT082,-3.836747578761708,0.443
set8IT084,-3.29101938985236,0.095
set8IT085,-2.585961582925209,0.133
set8IT089,0.2791597691733374,-0.169
set8IT090,0.1878259217568847,-0.05
set8IT092,-0.0198670345106083,0.806
set8IT093,0.035629139137672,0.463
set8IT094,0.3902519320218676,0.781
