,A,PP_5350
R2,,0.11871898212090826
xmin,,-10.805
xmid,,-1.695998597608575
xmax,,1.958
ystart,,0.05655995499107247
yend,,-5.105168703692591
set1IT078,0.4042162973588007,-2.435
set1IT079,-0.2784187623904368,-1.532
set1IT080,0.1620526637956154,-2.287
set1IT081,0.3283598797392775,-2.266
set1IT082,1.084232750746079,-1.674
set1IT083,1.034656088084566,-2.884
set1IT084,-9.030532503537758,0.223
set1IT085,-8.738835060943194,0.393
set1IT086,-5.860496879909501,0.581
set1IT087,-6.551952048247126,0.394
set5IT075,-0.003662836367847,-1.874
set5IT076,-0.2176976468589476,-1.194
set5IT081,0.4230973044563565,-2.072
set5IT082,0.499555708238603,-1.357
set5IT083,0.9608204086118924,-1.348
set5IT084,0.8123799446092878,-0.823
set5IT085,-1.2136634446672014,-0.323
set5IT086,-1.267603005051333,-0.113
set5IT087,-1.954120901052217,-0.437
set5IT088,-2.2355182308530472,-0.371
set6IT057,0.3916904987438627,-1.334
set6IT059,0.048817048125003,-0.175
set6IT061,-0.0422833174925364,-1.531
set6IT064,0.0625829272147828,-1.319
set6IT065,-0.3863271390902177,-1.241
set7IT042,-0.6729932221420328,-0.781
set7IT044,-2.780322280079523,-2.743
set7IT045,-1.963678318792024,-1.825
set7IT055,-2.657886558951588,1.25
set7IT056,-1.0447411483039286,0.957
set7IT057,-2.632013528553228,-0.994
set7IT062,-1.136830752455062,1.371
set8IT058,0.1301218139856468,-1.139
set8IT059,0.47206871091612,-1.719
set8IT060,-0.3828531619813521,-0.166
set8IT062,-0.7269415439494444,-0.181
set8IT064,-0.6353511425311729,0.18
set8IT070,0.2540654909653544,-0.227
set8IT073,0.0967966723395392,1.057
set8IT080,0.4556402466388177,-0.869
set8IT081,0.421988479824932,-1.395
set8IT082,0.7163511734796076,0.63
set8IT084,0.9866652659989356,0.218
set8IT085,0.2660327251202977,0.036
set8IT089,-0.4725270211260022,-1.898
set8IT090,0.5261316010158373,-1.5
set8IT092,0.4806657715903856,-0.136
set8IT093,0.9345693887080316,-0.095
set8IT094,0.7922626279372385,-0.138
set8IT095,0.6948882626456993,0.224
set8IT096,1.4031339402731364,-0.631
set9IT020,0.1284652072184625,1.134
set9IT022,-0.8270163331879511,1.025
set9IT025,0.038467521938452,1.958
set10IT006,-0.5659422855809589,-1.012
set10IT008,-0.657862435621864,-1.067
set10IT010,-1.4665676816891349,0.388
set10IT017,0.8281741709931608,-0.897
set10IT018,0.2337763951694702,-0.601
set10IT019,0.6077675813542102,-0.267
set10IT020,0.3084777604304516,-0.55
set10IT021,0.9456846210724728,-1.696
set10IT022,0.5753109320931364,-1.032
set10IT023,0.5518471170671391,-1.085
