,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),1.5104296034024043,0.07821309049179916,2.0,0.0,1.5657346100667124,1.0,1.455124596738096,,,,
1,set1__Glucose carbon source (20mM),1.2155952650758617,0.03165064530731161,2.0,2.0,1.1932148791501314,3.0,1.2379756510015918,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.08387990329998374,0.8962718726600721,2.0,4.0,-0.7176398222446866,5.0,0.5498800156447191,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.3263114288321936,0.30302280819137517,2.0,6.0,0.1120419463058817,7.0,0.5405809113585055,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.09922443213176355,0.19061404956878159,2.0,8.0,0.2340089191712777,9.0,-0.0355600549077506,,,,
5,set5__D-Glucose carbon source,1.1853014758818063,0.006407127403353136,2.0,10.0,1.1898319991166435,11.0,1.1807709526469692,,,,
6,set5__Levulinic Acid carbon source,0.19237644147463823,0.2146467017545608,4.0,12.0,-0.0770354804947848,13.0,0.4410551348808951,14.0,0.1604298776345872,15.0,0.2450562338778554
7,set5__Vanillin carbon source,-1.7672819321765243,0.4195046043698108,2.0,16.0,-2.0639164826653973,17.0,-1.4706473816876513,,,,
8,set5__p-Coumaric acid carbon source,0.5545358669921211,0.6380794668653517,2.0,18.0,1.0057261849485082,19.0,0.103345549035734,,,,
9,set6__D-Glucose carbon source,-3.9476955466751735,,1.0,20.0,-3.9476955466751735,,,,,,
10,set6__Ferulic Acid carbon source,-5.79416808408188,,1.0,21.0,-5.79416808408188,,,,,,
11,set6__benzoic acid carbon source,-3.44868880079879,,1.0,22.0,-3.44868880079879,,,,,,
12,set6__Valerolactam carbon source,-1.56564111242683,,1.0,23.0,-1.56564111242683,,,,,,
13,set6__D-Glucuronic Acid carbon source,-4.174189903654619,,1.0,24.0,-4.174189903654619,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.0009336047204865,,1.0,25.0,-0.0009336047204865,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.2830360554067516,0.8200635345631753,2.0,26.0,0.2968364308866784,30.0,-0.8629085417001816,,,,
16,set7__Valerolactam 10 mM carbon source,-0.5660219302347471,,1.0,27.0,-0.5660219302347471,,,,,,
17,set7__L-Lysine 10 mM carbon source,-1.5705481519685929,,1.0,28.0,-1.5705481519685929,,,,,,
18,set7__D-Lysine 10 mM carbon source,-2.5841542279235616,2.195945905183052,2.0,29.0,-1.0313859872497944,31.0,-4.136922468597329,,,,
