,A,GbdR
R2,,0.6901321209031733
xmin,,-3.619
xmid,,
xmax,,0.94
ystart,,-14.64210104960124
yend,,4.0865098617545135
set1IT078,0.3417622308274329,0.222
set1IT079,0.3558875409512174,-0.08
set1IT080,0.6823042624986957,0.043
set1IT081,0.7495341229494799,-0.014
set1IT082,0.6342835691594544,-0.091
set1IT083,-0.0746033489073364,0.085
set1IT084,0.4748295388226042,-0.122
set1IT085,0.3699994271122228,0.127
set1IT086,0.4428612535544025,-0.085
set1IT087,0.7280872838019223,-0.358
set5IT075,0.8156824483673693,-0.075
set5IT076,0.5640320485344994,-0.246
set5IT081,0.4592721749676913,-0.098
set5IT082,-0.0463664091894839,-0.046
set5IT083,0.500861679636777,-0.081
set5IT084,-0.4482407713641334,0.193
set5IT085,-0.089465138489308,-0.399
set5IT086,0.0293670065875792,-0.312
set5IT087,0.4368162392429813,-0.422
set5IT088,0.6089671782609419,-0.041
set6IT057,0.4369578425086075,-0.152
set6IT059,0.098632799379741,-0.238
set6IT061,0.3803003174778076,-0.131
set6IT064,0.2825748303316223,-0.17
set6IT065,-0.218773935781147,-0.169
set7IT042,-1.1011132646266362,-0.357
set7IT044,0.0555153801615341,-0.101
set7IT045,0.3205059333127815,-0.127
set7IT055,1.3596293321061552,0.781
set7IT056,0.625644368505001,-0.067
set7IT057,-0.4968823365120084,-0.212
set7IT062,0.8923352479763703,-0.11
set8IT058,0.1181833767335877,-0.254
set8IT059,-0.5220483153949319,-0.114
set8IT060,-0.0590996777940952,-0.062
set8IT062,0.1495745861356189,0.128
set8IT064,-0.1697802435450026,-0.214
set8IT070,0.7764125838174512,-0.152
set8IT073,-0.297473304093418,-0.088
set8IT080,0.4564217352356647,-0.329
set8IT081,0.6882973880265904,-0.084
set8IT082,0.6338830572170947,0.299
set8IT084,0.6738482700482001,-0.055
set8IT085,0.2799204354640166,-0.183
set8IT089,0.7017599070505102,0.198
set8IT090,0.3719855480263374,0.199
set8IT092,0.4611731554024668,-0.113
set8IT093,0.6189225817162071,-0.09
set8IT094,0.0602754920641027,-0.05
set8IT095,0.4893163036875799,0.037
set8IT096,0.6531315116120489,0.082
set9IT020,0.3102752956479312,0.122
set9IT022,0.871652981662163,0.255
set9IT025,-1.187723442255988,-0.153
set10IT006,0.1414615315243031,0.197
set10IT008,-0.4875782654838261,0.249
set10IT010,0.464527543013703,-0.043
set10IT017,0.4565445541676329,0.151
set10IT018,0.3029523068942314,-0.215
set10IT019,0.815516003061967,0.103
set10IT020,-0.0191538214846274,-0.012
set10IT021,0.4604426351659389,-0.42
set10IT022,0.1122183495488444,0.123
set10IT023,0.5499953186066598,-0.015
set10IT024,0.3559881913890013,-0.104
set10IT025,0.8020257567157435,0.156
set10IT026,0.1206105811039327,-0.119
set10IT027,-0.2604221577060303,-0.088
set10IT028,0.34608392532646,-0.008
set10IT029,0.062853444228335,-0.096
set10IT031,0.2950482047169437,0.044
set10IT032,1.1114115616369244,-0.052
set10IT033,0.0309370346851273,0.015
set10IT034,0.5215463564440396,0.207
set10IT035,0.1025478933989166,-0.193
set10IT036,0.4233504754166228,0.145
set10IT037,0.5795832365423651,0.057
set10IT043,0.7497934309283909,-0.029
set10IT044,0.2965948700018912,0.082
set10IT053,-0.4995413803854562,0.156
set12IT001,-0.679980113669009,-0.272
set12IT002,0.7682206661969202,0.175
set12IT004,0.3137740730996381,0.175
set12IT007,-0.339758328185964,-0.033
set12IT008,0.7147287991832343,0.259
set12IT009,0.8274061460252065,0.503
set12IT014,0.5197907231384353,0.091
set12IT015,0.5165648757902648,0.12
set12IT016,-0.0199844071861367,0.021
set12IT017,-0.0210786773428919,-0.181
set12IT023,0.6127333837605264,0.12
set12IT024,-0.1532741312194783,0.137
set12IT025,-0.1064535854719856,0.02
set12IT026,0.3370433399541187,-0.044
set12IT027,0.7261577281018978,0.065
set12IT028,0.9953481029579602,-0.37
set12IT029,-0.1410956153505635,0.047
set12IT031,0.3007994446471603,-0.036
set12IT032,0.8773150818482697,0.124
set12IT034,0.3881796147362215,-0.147
set12IT037,0.0159529459015156,0.312
set12IT038,1.0449232357455482,0.083
set12IT039,0.3222266971121089,0.459
set12IT044,0.6044855896360989,0.188
set12IT046,0.0880934985621713,0.034
set12IT053,0.387781665210439,0.005
set12IT054,-0.067238760029924,0.169
set12IT055,0.6437356919161447,0.401
set12IT056,1.2559128442506662,0.054
set12IT057,0.4587270654941089,-0.13
set12IT058,1.2214196191232711,-0.035
set12IT059,0.2886359827869992,0.138
set15IT054,-0.4902098623499462,0.135
set15IT057,-0.6046169140526778,0.281
set15IT058,0.4008823360030575,0.059
set15IT059,0.4249729309194021,-0.039
set15IT060,-1.2447247070477754,0.165
set15IT061,-0.1057713952994229,0.042
set15IT062,0.1894065238823511,0.112
set15IT063,-0.3549402937576931,-0.394
set15IT064,0.3167416323530923,0.149
set15IT065,-1.6918918309681046,-0.024
set15IT066,0.0079816237066887,-0.324
set15IT067,-0.0700751447689666,0.133
set15IT068,-0.8271902048265664,0.165
set15IT071,0.0454172183035753,-0.043
set15IT072,0.1749222604839228,0.142
set15IT073,0.9131113413749028,-0.135
set15IT074,-0.2850696964723667,0.182
set15IT075,-0.3773800970151856,-0.066
set15IT076,-0.0968455774399161,0.126
set15IT077,-0.5894530100297897,0.114
set15IT078,0.3238187465975969,0.02
set15IT079,-1.216848141700853,0.19
set15IT080,1.0421033971159366,-0.058
set15IT081,0.5200272709058844,0.009
set16IT004,0.1700140395484447,-0.153
set16IT005,0.1429772259138047,-0.171
set16IT006,0.5942619703280626,0.125
set16IT007,0.4182658660803524,-0.048
set16IT008,0.8312977996077159,-0.163
set16IT009,0.5825678781298995,-0.003
set16IT010,-0.3794370303937612,0.144
set16IT011,-0.7333162078822015,0.09
set16IT012,0.2339969930202793,-0.298
set16IT013,0.4370884139472518,-0.084
set16IT014,0.296117321024023,0.029
set16IT015,0.4607141171622519,-0.029
set27IT004,0.99319636073478,0.276
set27IT005,0.612206476440387,0.211
set27IT006,0.3428397393315705,0.102
set27IT007,0.6936740949424264,0.17
set27IT008,0.7282008321192842,0.252
set27IT009,1.0220788697395398,0.203
set27IT010,1.2565919583821612,0.169
set27IT011,0.6179032820555814,0.095
