,A,DctD-II
R2,,0.7060301312086336
xmin,,-4.386
xmid,,
xmax,,1.109
ystart,,-12.037296635185976
yend,,4.369080505977551
set1IT078,2.72807961828476,0.07
set1IT079,1.567563033283653,-0.299
set1IT080,3.037646439625916,0.17
set1IT081,2.760950774839655,0.105
set1IT082,1.795596735941701,0.04
set1IT083,1.6331743395769565,-0.36
set1IT084,2.1403527796075874,-0.209
set1IT085,1.8441938610351625,-0.351
set1IT086,2.068104756845874,0.163
set1IT087,1.7462703416969296,-0.28
set5IT075,2.1710367988164188,0.059
set5IT076,2.075913542658617,0.082
set5IT081,3.755085749588216,0.362
set5IT082,3.100692190059548,0.172
set5IT083,1.8472847468264724,-0.449
set5IT084,1.4362675219001335,-0.923
set5IT085,2.7017842959641936,0.283
set5IT086,2.3008789240486904,0.188
set5IT087,2.5676228696994734,0.341
set5IT088,2.3344677938775225,-0.162
set6IT057,0.1878204029673786,0.098
set6IT059,0.0826475774051869,0.112
set6IT061,-0.2816348489868839,0.187
set6IT064,0.0320819269749867,0.011
set6IT065,0.151197194769256,0.166
set7IT042,1.0644118409449084,-0.027
set7IT044,0.9848395757366044,0.179
set7IT045,1.5817299723279856,0.203
set7IT055,0.6529767726127962,0.168
set7IT056,0.9261407638123454,-0.102
set7IT057,3.182464304449308,0.892
set7IT062,2.1268815812143904,0.408
set8IT058,-0.3835776140590628,-0.133
set8IT059,0.5757801194500002,-0.065
set8IT060,0.0117616862167571,-0.816
set8IT062,-0.2646609161386019,-0.376
set8IT064,0.4077088751304389,-0.274
set8IT070,1.3883201540801935,-0.325
set8IT073,0.9963000891081636,0.156
set8IT080,0.9154462835356352,0.448
set8IT081,1.294213365953073,-0.05
set8IT082,0.0004865375562617,-0.115
set8IT084,1.069885608851482,-0.126
set8IT085,0.7827608726766029,-0.226
set8IT089,0.3508808684249594,-0.004
set8IT090,0.6261594851926983,-0.102
set8IT092,0.3768657599205508,-0.136
set8IT093,0.2026857895189663,-0.112
set8IT094,1.311088341349749,-0.164
set8IT095,0.8953417397241438,-0.086
set8IT096,0.5276279433182499,0.222
set9IT020,0.0796483922038548,0.544
set9IT022,-0.2602729933270067,-0.116
set9IT025,-1.0620887231506675,-0.277
set10IT006,-0.0649788954468236,0.33
set10IT008,-20.17829094509665,-4.155
set10IT010,0.372424056101095,-0.009
set10IT017,0.433718394018783,0.185
set10IT018,-0.5792350640559584,-0.1
set10IT019,0.3204973794695185,0.191
set10IT020,-0.1413841938997094,-0.161
set10IT021,-0.012003230509891,0.308
set10IT022,0.4009659215743384,-0.211
set10IT023,-0.0753417786432615,-0.141
set10IT024,0.0154213489768352,-0.002
set10IT025,1.152159383940886,-0.029
set10IT026,-0.5296775559193684,0.033
set10IT027,-0.3616669376275823,-0.154
set10IT028,0.0142449938521572,-0.119
set10IT029,-0.0611855491005626,-0.101
set10IT031,-0.1413953137275004,-0.024
set10IT032,0.3786440693425529,0.398
set10IT033,0.3425634175063519,0.157
set10IT034,0.2232707842176173,0.304
set10IT035,0.0498255088940011,0.134
set10IT036,0.5942246930474439,0.047
set10IT037,-0.5453390488338442,-0.175
set10IT043,1.5922002564127944,-0.132
set10IT044,2.1754279842059083,-0.056
set10IT053,2.4155417519311158,0.152
set12IT001,2.0693744012972566,0.377
set12IT002,1.1188421339251815,0.244
set12IT004,2.2774400534388097,0.038
set12IT007,1.2844008568023295,0.228
set12IT008,1.1305784001161898,0.206
set12IT009,1.3107519894744124,0.041
set12IT014,1.535283685865616,-0.138
set12IT015,2.2020757497042047,0.095
set12IT016,1.9624064287415603,0.131
set12IT017,1.6030639180828317,0.242
set12IT023,0.0666223580481908,0.084
set12IT024,2.134509382581361,0.47
set12IT025,1.6465241998486944,0.405
set12IT026,2.8200739619919277,0.106
set12IT027,1.9482810398433408,0.155
set12IT028,-7.669991435180921,-2.665
set12IT029,3.402311852117736,0.61
set12IT031,1.678022159365649,0.11
