,A,GltR-II
R2,,0.5311763371049573
xmin,,-4.404
xmid,,
xmax,,0.931
ystart,,-19.388501536176307
yend,,3.4526349270809416
set1IT078,-0.9255895651506392,-0.604
set1IT079,-0.6296804645086039,-0.594
set1IT080,-0.4875626527590359,-0.243
set1IT081,-0.8384092461567805,-0.692
set1IT082,-0.0942250405285127,-0.019
set1IT083,0.0996475344389202,-0.033
set1IT084,-0.2918182003936233,-0.315
set1IT085,-0.351228675040893,-0.11
set1IT086,-0.4083059794082828,-0.145
set1IT087,-0.25028670221696,0.529
set5IT075,-1.4608456082303474,-0.778
set5IT076,-1.9315502914545493,-0.726
set5IT081,-0.4885139292077591,0.286
set5IT082,-1.2397938982626129,0.036
set5IT083,0.2389731638758164,0.01
set5IT084,0.3273337295097182,0.018
set5IT085,-0.0762096528945225,-0.38
set5IT086,-0.3203116237690509,0.244
set5IT087,-0.4424969103040176,0.051
set5IT088,-0.1741617010077341,0.269
set6IT057,-0.7874117028539018,0.463
set6IT059,-0.5718831261475612,0.31
set6IT061,0.152702928293846,0.067
set6IT064,-1.0296882103448082,0.196
set6IT065,0.0437678563971453,0.058
set7IT042,-0.2096910636090904,-1.185
set7IT044,-0.527781959426572,0.114
set7IT045,-0.3651990943168902,-0.084
set7IT055,-1.1276132438444475,-0.178
set7IT056,-1.1958535951375795,0.195
set7IT057,-0.5181797194567469,-0.269
set7IT062,-0.7112824327383245,-0.135
set8IT058,0.0537637235423422,-0.031
set8IT059,-0.5553608139086578,-0.427
set8IT060,-0.4725271599012716,0.248
set8IT062,-0.7906784073604368,0.074
set8IT064,-1.1160521746426997,-0.259
set8IT070,-0.5655919283928255,-0.529
set8IT073,-0.3929910195689045,-0.014
set8IT080,0.1473408515775984,0.073
set8IT081,-0.0950879887101187,-0.683
set8IT082,-0.7469160443940959,-0.764
set8IT084,-0.7257980811685678,-0.455
set8IT085,-0.914129314742544,0.094
set8IT089,-0.7453804753752946,0.076
set8IT090,-1.1171874143577474,-0.505
set8IT092,-2.864620406443804,-1.839
set8IT093,-2.7865303412841604,-1.416
set8IT094,-2.8403003493417827,-1.028
set8IT095,-1.888049845996976,-1.061
set8IT096,-1.6646823504307546,-1.41
set9IT020,-0.7951598178212795,-0.386
set9IT022,-1.0882171894777466,-0.011
set9IT025,0.9942039173947862,0.601
set10IT006,-0.9118371904717892,0.086
set10IT008,-1.6442165123962154,0.161
set10IT010,-0.5826822145679686,-0.353
set10IT017,-1.5638904845258204,-0.715
set10IT018,-1.0777857017443873,-0.277
set10IT019,-1.66584646089976,-0.293
set10IT020,-1.468450912586838,-0.89
set10IT021,-0.9830032407577636,-0.099
set10IT022,-1.257081166187721,-0.339
set10IT023,-1.4723249509994043,-0.403
set10IT024,-1.6991161194602975,-0.501
set10IT025,-1.6630220250790613,-0.448
set10IT026,-1.4707703577090292,-0.407
set10IT027,-1.309603208200019,-0.584
set10IT028,-1.9386680203579088,-0.899
set10IT029,-1.6046322779542277,-0.159
set10IT031,-1.703782965837988,-0.353
set10IT032,-1.7748719457399995,-1.01
set10IT033,-0.7427046583211961,-0.357
set10IT034,-1.761036629496449,-0.629
set10IT035,-1.2840574252270949,-0.406
set10IT036,-1.3438876544603997,-0.482
set10IT037,-1.635439027159706,-0.743
set10IT043,-1.301616567210364,0.044
set10IT044,-0.2927429785579867,-0.052
set10IT053,-0.0177139196883564,-0.328
set12IT001,-0.568433103888581,0.032
set12IT002,-1.0268737286693963,-0.035
set12IT004,-0.3784189051373962,0.061
set12IT007,-1.9007468882526188,0.088
set12IT008,0.5634582835487656,-0.086
set12IT009,-0.2571497779724647,-0.073
set12IT014,-1.1248995736291851,-0.183
set12IT015,-0.9510078192389506,0.116
set12IT016,-1.2595556121286475,0.247
set12IT017,-1.6259147178203406,0.017
set12IT023,-0.6512569079324609,0.031
set12IT024,-0.2718588595409749,-0.002
set12IT025,-1.0355696650518431,-0.092
set12IT026,-1.1836675843084108,-0.239
set12IT027,-1.976032011112976,-0.818
set12IT028,-0.9897883940403364,0.105
set12IT029,-1.377466120635948,0.409
set12IT031,-1.3163541593536308,-0.039
set12IT032,-1.1228348833872916,0.025
set12IT034,0.1710512843055937,0.121
set12IT037,-0.307574653026786,0.003
set12IT038,0.174949765653497,0.167
set12IT039,-1.144708501654927,-0.073
set12IT044,-0.3546049028617897,0.088
set12IT046,-0.3716737868750556,-0.116
set12IT053,-0.341013735986441,-0.087
set12IT054,-0.850471725706214,0.022
set12IT055,-1.61902394586569,-0.373
set12IT056,-0.96399614085004,-0.179
set12IT057,-2.6553544768879647,-0.508
set12IT058,-0.7346108513264602,0.032
set12IT059,-0.641580921192372,-0.023
set15IT054,0.1723221100262461,-0.057
set15IT057,-0.2008551292683162,0.098
set15IT058,-0.9889528290520182,0.189
set15IT059,-0.4641340916716819,-0.088
set15IT060,0.1309898537442708,0.011
set15IT061,-1.2877849524211455,0.015
set15IT062,-0.3687781305017424,0.077
set15IT063,-0.9621173740981336,0.231
set15IT064,-0.657968228986925,0.101
set15IT065,-0.3804839536952295,0.111
set15IT066,-0.0471468250597664,0.123
set15IT067,-0.5305585806351736,0.09
set15IT068,-0.2075783748441053,-0.011
set15IT071,-0.3455162791345576,-0.211
set15IT072,-1.408347128909795,0.075
set15IT073,-0.660073499242937,0.035
set15IT074,-0.0830886336654578,0.294
set15IT075,-0.9151931714363494,0.223
set15IT076,-0.8966703964686942,0.098
set15IT077,-0.4794588925585721,0.021
set15IT078,-0.0637005673625015,-0.127
set15IT079,0.2845205774078242,-0.233
set15IT080,-0.2711352414493262,0.369
set15IT081,-0.6741716954489884,-0.316
set16IT004,-0.3174827679648785,-0.066
set16IT005,-0.2971828609602938,0.002
set16IT006,-0.1145448401269601,-0.046
set16IT007,-0.1584375889938678,0.062
set16IT008,-0.2799155559125442,0.157
