locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ModR,link
PP_3829,0.27943639826137,modB,Molybdenum transport system permease protein ModB,Inorganic ion transport and metabolism,Op2504,"ModR,TurA",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3829&e1=1&assembly=complete
PP_1293,0.2666175446526536,moaD,molybdopterin synthase small subunit,Coenzyme transport and metabolism,Op812,TurB,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1293&e1=1&assembly=complete
PP_1292,0.2662585158413333,moaC,Cyclic pyranopterin monophosphate synthase accessory protein,Coenzyme transport and metabolism,Op812,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1292&e1=1&assembly=complete
PP_2123,0.2644851495181965,moeA,molybdenum::molybdopterin ligase,Coenzyme transport and metabolism,Op1361,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2123&e1=1&assembly=complete
PP_1294,0.2401565418968755,moaE,molybdopterin synthase large subunit,Coenzyme transport and metabolism,Op812,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1294&e1=1&assembly=complete
PP_3828,0.2333904985046646,modA,Molybdate-binding periplasmic protein,Inorganic ion transport and metabolism,Op2504,ModR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3828&e1=1&assembly=complete
PP_3830,0.1665342554443048,modC,Molybdenum import ATP-binding protein ModC,Inorganic ion transport and metabolism,Op2504,ModR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3830&e1=1&assembly=complete
PP_3622,0.1526051834323757,PP_3622,putative Isoquinoline 1-oxidoreductase%2C beta subunit,Energy production and conversion,Op2356,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3622&e1=1&assembly=complete
PP_3621,0.1490103866291691,iorA-II,isoquinoline 1-oxidoreductase subunit alpha,Energy production and conversion,Op2356,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3621&e1=1&assembly=complete
PP_4597,0.1426752540555965,moaA,Cyclic pyranopterin monophosphate synthase,Coenzyme transport and metabolism,Op2990,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4597&e1=1&assembly=complete
PP_4231,0.1402682558896053,PP_4231,putative Xanthine dehydrogenase accessory factor,"Post-translational modification, protein turnover, and chaperones",Op2743,AlgR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4231&e1=1&assembly=complete
PP_1233,0.1367788922722275,tusA-I,sulfurtransferase,"Post-translational modification, protein turnover, and chaperones",Op784,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1233&e1=1&assembly=complete
PP_3623,0.1100050734458236,adhB,Alcohol dehydrogenase cytochrome c subunit,Energy production and conversion,Op2356,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3623&e1=1&assembly=complete
PP_2122,0.1045048315821936,moaB-I,molybdenum cofactor biosynthesis protein B,Coenzyme transport and metabolism,Op1361,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2122&e1=1&assembly=complete
PP_1075,0.0968034958347103,glpK,glycerol kinase,Nucleotide transport and metabolism,Op671,"GlpR,TurB,GlnG,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1075&e1=1&assembly=complete
PP_3946,0.0821550529547093,nicR,HTH-type transcriptional repressor NicR,Transcription,Op2577,"FinR,AmrZ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3946&e1=1&assembly=complete
