locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PedR1,link
PP_2675,0.2769477318278525,PP_2675,Cytochrome c-type protein,Energy production and conversion,Op1749,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2675&e1=1&assembly=complete
PP_0376,0.2740605741661723,pqqE,Coenzyme PQQ synthesis protein E,Function unknown,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0376&e1=1&assembly=complete
PP_2665,0.2307145375609303,agmR,Glycerol metabolism activator,Transcription,Op1744,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2665&e1=1&assembly=complete
PP_0378,0.2265131207413592,pqqC,Pyrroloquinoline-quinone synthase,Coenzyme transport and metabolism,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0378&e1=1&assembly=complete
PP_2682,0.2091880887678944,yiaY,Fe-containing alcohol dehydrogenase,Energy production and conversion,Op1753,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2682&e1=1&assembly=complete
PP_0377,0.2025332993572325,pqqD-I,coenzyme PQQ synthesis protein D,Function unknown,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0377&e1=1&assembly=complete
PP_0381,0.1982582788709408,pqqF,Coenzyme PQQ synthesis protein F,"Post-translational modification, protein turnover, and chaperones",Op259,AmrZ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0381&e1=1&assembly=complete
PP_0379,0.1926975033558972,pqqB,Coenzyme PQQ synthesis protein B,Energy production and conversion,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0379&e1=1&assembly=complete
PP_2214,0.1715142318532947,fadBA,3-hydroxyacyl-CoA dehydrogenase type-2,Lipid transport and metabolism,Op1431,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2214&e1=1&assembly=complete
PP_2215,0.1455590883716586,PP_2215,acetyl-CoA acetyltransferase,Lipid transport and metabolism,Op1431,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2215&e1=1&assembly=complete
PP_2217,0.1426094143563187,PP_2217,enoyl-CoA hydratase,Lipid transport and metabolism,Op1431,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2217&e1=1&assembly=complete
PP_2335,0.1376843497585713,prpC,methylcitrate synthase,Energy production and conversion,Op1514,"PrpR,GnuR,AmrZ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2335&e1=1&assembly=complete
PP_2674,0.1189507745547393,qedH-I,quinoprotein ethanol dehydrogenase,Carbohydrate transport and metabolism,Op1748,"PedR1,PedS2",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2674&e1=1&assembly=complete
PP_2672,0.1117546226857979,exaE,Transcriptional activator protein ExaE,Transcription,Op1746,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2672&e1=1&assembly=complete
PP_0380,0.0962178193815433,pqqA,Coenzyme PQQ synthesis protein A,No COG annotation,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0380&e1=1&assembly=complete
PP_2683,0.0951411491845489,PP_2683,putative sensory box histidine kinase/response regulator,Signal transduction mechanisms,Op1753,"PedR1,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2683&e1=1&assembly=complete
PP_2213,0.0948589801573246,PP_2213,putative acyl-CoA synthetase,Lipid transport and metabolism,Op1431,TurB,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2213&e1=1&assembly=complete
PP_2671,0.0942494975690745,PP_2671,Sensor histidine kinase,Signal transduction mechanisms,Op1746,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2671&e1=1&assembly=complete
PP_2334,0.0935890060024707,mmgF,2-methylisocitrate lyase,Coenzyme transport and metabolism,Op1514,"PrpR,GnuR",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2334&e1=1&assembly=complete
PP_2668,0.084022365786292,PP_2668,ABC efflux transporter%2C ATP-binding protein,Defense mechanisms,Op1745,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2668&e1=1&assembly=complete
