,name,x,y,cog,color,link
meta,start,0.141631176009623,,,,
PP_0001,parB,147.0,-0.0184315805792061,"Replication, recombination and repair",#00ff00,
PP_0002,parA,1029.0,0.0014961988237469,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0003,rsmG,1839.0,0.0023667486270164,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0007,yidD,8156.0,0.0047751754510323,Function unknown,#0000ff,
PP_0012,recF,12222.0,-0.0053652341317062,"Replication, recombination and repair",#00ff00,
PP_0014,PP_0014,17208.0,-0.0009971954994538,"Replication, recombination and repair",#00ff00,
PP_0015,PP_0015,19163.0,-0.0043484353531155,Function unknown,#0000ff,
PP_0016,PP_0016,20198.0,-0.0077894512148636,Function unknown,#0000ff,
PP_0017,PP_0017,22171.0,0.0018354475405006,No COG annotation,#00bfbf,
PP_0020,PP_0020,24695.0,-2.2437790522786197e-05,No COG annotation,#00bfbf,
PP_0021,PP_0021,25881.0,-0.0018713645487652,No COG annotation,#00bfbf,
PP_0022,PP_0022,26989.0,0.0263542468918429,No COG annotation,#00bfbf,
PP_0024,PP_0024,27850.0,-0.0023039518151674,Function unknown,#0000ff,
PP_0025,PP_0025,29990.0,0.0043672967214664,No COG annotation,#00bfbf,
PP_0026,PP_0026,30431.0,-0.0003838682258638,Inorganic ion transport and metabolism,#8b4513,
PP_0027,PP_0027,31404.0,0.0008177433307592,No COG annotation,#00bfbf,
PP_0028,PP_0028,31877.0,0.001922030510688,Function unknown,#0000ff,
PP_0029,czcR-I,32893.0,0.0024690814677676,Transcription,#daa520,
PP_0030,czrSA,33564.0,-0.0037416083095464,Signal transduction mechanisms,#000000,
PP_0031,PP_0031,35040.0,-1.2068103693658596e-05,No COG annotation,#00bfbf,
PP_0033,PP_0033,36198.0,-0.0041709195428013,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0034,PP_0034,37646.0,0.0050979570227186,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0035,PP_0035,38595.0,-0.0059079165565382,Function unknown,#0000ff,
PP_0036,PP_0036,39272.0,-0.0002544708256667,Transcription,#daa520,
PP_0037,oprP,40469.0,-0.0022644077178789,Inorganic ion transport and metabolism,#8b4513,
PP_0039,PP_0039,42057.0,-0.0066299131424877,No COG annotation,#00bfbf,
PP_0040,PP_0040,43210.0,-0.0266960708696272,No COG annotation,#00bfbf,
PP_0041,cadA-I,43527.0,-0.0045388220799794,Inorganic ion transport and metabolism,#8b4513,
PP_0042,PP_0042,45727.0,-0.0012331195555314,Function unknown,#0000ff,
PP_0043,czcA-I,46213.0,0.0022869858252166,Inorganic ion transport and metabolism,#8b4513,
PP_0044,czcB-I,49399.0,-0.0093516766118333,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0045,czcC-I,50718.0,-0.0014502708716619,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0046,opdT-I,52394.0,0.0058345518174238,Function unknown,#0000ff,
PP_0047,czcR-II,54227.0,0.0244678653672658,Transcription,#daa520,
