locus,gene_weight,gene_name,gene_product,cog,operon,regulator,DctD-II,link
PP_1066,0.2504691264749912,dctD-II,C4-dicarboxylate transport transcriptional regulatory protein,Signal transduction mechanisms,Op667,GacA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1066&e1=1&assembly=complete
PP_1067,0.2246953129940295,PP_1067,Sensor histidine kinase,Signal transduction mechanisms,Op667,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1067&e1=1&assembly=complete
PP_0137,0.1953702003753333,gltP,glutamate/aspartate-proton DAACS transporter,Energy production and conversion,Op96,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0137&e1=1&assembly=complete
PP_1071,0.1837199846528101,gltI,glutamate / aspartate ABC transporter - periplasmic binding protein,Amino acid transport and metabolism,Op669,"DctD-II,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1071&e1=1&assembly=complete
PP_5337,0.1609104378833536,PP_5337,LysR family transcriptional regulator,Transcription,Op3496,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5337&e1=1&assembly=complete
PP_1069,0.1528002558548324,gltK,glutamate / aspartate ABC transporter - permease subunit,Inorganic ion transport and metabolism,Op668,DctD-II,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1069&e1=1&assembly=complete
PP_1070,0.144425685896407,gltJ,glutamate / aspartate ABC transporter - permease subunit,Inorganic ion transport and metabolism,Op668,DctD-II,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1070&e1=1&assembly=complete
PP_1068,0.1198302153284925,gltL,glutamate / aspartate ABC transporter - ATP binding subunit,Amino acid transport and metabolism,Op668,DctD-II,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1068&e1=1&assembly=complete
PP_4891,0.1191470592827141,hflC,integral membrane ATP-dependent zinc metallopeptidase / HflK-HflC complex,"Post-translational modification, protein turnover, and chaperones",Op3189,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4891&e1=1&assembly=complete
PP_0594,0.1094276668933343,PP_0594,Transcriptional regulator%2C TetR family,Transcription,Op381,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0594&e1=1&assembly=complete
PP_4902,-0.1252365223749705,orn,Oligoribonuclease,RNA processing and modification,Op3194,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4902&e1=1&assembly=complete
PP_4693,-0.1287776227785075,dksA,RNA polymerase-binding transcription factor DksA,Signal transduction mechanisms,Op3061,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4693&e1=1&assembly=complete
