locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PP_5350,link
PP_5659,0.4396882153367408,PP_5659,protein of unknown function,No COG annotation,Op2682,PP_5350,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5659&e1=1&assembly=complete
PP_4116,0.3589339526727383,aceA,isocitrate lyase,Energy production and conversion,Op2682,PP_5350,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4116&e1=1&assembly=complete
PP_0356,0.329450513057443,glcB,malate synthase G,Coenzyme transport and metabolism,Op244,PP_5350,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0356&e1=1&assembly=complete
PP_2137,0.1955766512975326,pcaF-II,beta-ketoadipyl CoA thiolase%2C beta component,Lipid transport and metabolism,Op1373,PsrA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2137&e1=1&assembly=complete
PP_0368,0.1830168219902815,PP_0368,putative Acyl-CoA dehydrogenase,Energy production and conversion,Op252,PsrA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0368&e1=1&assembly=complete
PP_5085,0.1619729402665073,maeB,malic enzyme B,Energy production and conversion,Op3312,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5085&e1=1&assembly=complete
PP_4549,0.1332906623803366,fadD-I,long-chain-fatty-acid/CoA ligase,Lipid transport and metabolism,Op2957,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4549&e1=1&assembly=complete
PP_2136,0.1161636136222658,fadB,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,Op1373,PsrA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2136&e1=1&assembly=complete
PP_4699,0.1047021316533078,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,Op3065,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4699&e1=1&assembly=complete
PP_2334,-0.179256941807221,mmgF,2-methylisocitrate lyase,Coenzyme transport and metabolism,Op1514,"PrpR,GnuR",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2334&e1=1&assembly=complete
PP_2335,-0.2013555718159914,prpC,methylcitrate synthase,Energy production and conversion,Op1514,"PrpR,GnuR,AmrZ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2335&e1=1&assembly=complete
