locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PhhR,link
PP_3590,0.2493022996849539,amaC,D-lysine aminotransferase,Amino acid transport and metabolism,Op2335,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3590&e1=1&assembly=complete
PP_4917,0.2125289827857182,pde,3'%2C5'-cyclic-nucleotide phosphodiesterase,Function unknown,Op3203,AmrZ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4917&e1=1&assembly=complete
PP_0833,0.1809790281980793,tgt,queuine tRNA-ribosyltransferase,Nucleotide transport and metabolism,Op544,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0833&e1=1&assembly=complete
PP_3434,0.1753429531313486,PP_3434,conserved protein of unknown function,No COG annotation,Op2226,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3434&e1=1&assembly=complete
PP_4895,0.1719183983161844,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis",Op3191,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4895&e1=1&assembly=complete
PP_4490,0.1566900507457399,phhA,phenylalanine-4-hydroxylase,Amino acid transport and metabolism,Op2905,"Crp,PhhR,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4490&e1=1&assembly=complete
PP_3433,0.1562754806702888,hpd,4-hydroxyphenylpyruvate dioxygenase,Energy production and conversion,Op2226,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3433&e1=1&assembly=complete
PP_4489,0.1555242628951556,phhR,sigma-54 dependent transcriptional regulator,Transcription,Op2904,"AmrZ,PhhR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4489&e1=1&assembly=complete
PP_0393,0.1200969465531514,PP_0393,putative 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,Coenzyme transport and metabolism,Op270,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0393&e1=1&assembly=complete
PP_2329,0.1110144897853397,pabB,aminodeoxychorismate synthase / para-aminobenzoate synthase multi-enzyme complex,Amino acid transport and metabolism,Op1512,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2329&e1=1&assembly=complete
PP_1620,0.108110234728694,surE,5'(3')-nucleotidase and polyphosphatase,Nucleotide transport and metabolism,Op1010,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1620&e1=1&assembly=complete
