locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GltR-II,link
PP_2932,0.1656634734851706,PP_2932,Amidase family protein,"Translation, ribosomal structure and biogenesis",Op1897,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2932&e1=1&assembly=complete
PP_4547,0.1634558584675939,PP_4547,putative Glutamine synthetase,Amino acid transport and metabolism,Op2956,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4547&e1=1&assembly=complete
PP_4548,0.1611744411605905,PP_4548,putative Oxidoreductase,Amino acid transport and metabolism,Op2956,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4548&e1=1&assembly=complete
PP_0567,0.1590941630650075,speA,Biosynthetic arginine decarboxylase,Amino acid transport and metabolism,Op362,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0567&e1=1&assembly=complete
PP_0266,0.1490233726180407,aguA,Agmatine deiminase,Amino acid transport and metabolism,Op178,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0266&e1=1&assembly=complete
PP_0213,0.1259121237621746,gabD-I,succinate-semialdehyde dehydrogenase (NADP+),Energy production and conversion,Op148,RpoD,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0213&e1=1&assembly=complete
PP_1012,0.1250359443126713,gltR-II,DNA-binding response regulator,Transcription,Op637,"HexR,FleQ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1012&e1=1&assembly=complete
PP_2908,0.1226816355282222,csiR,DNA-binding transcriptional repressor,Transcription,Op1880,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2908&e1=1&assembly=complete
PP_1842,0.1203466143916639,PP_1842,Glutamine amidotransferase%2C class I,Nucleotide transport and metabolism,Op1159,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1842&e1=1&assembly=complete
PP_5262,0.1158681534711032,norM,Probable multidrug resistance protein NorM,Defense mechanisms,Op3438,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5262&e1=1&assembly=complete
PP_0566,0.1097061660893427,yciH,translation-related factor,"Translation, ribosomal structure and biogenesis",Op361,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0566&e1=1&assembly=complete
PP_1011,0.1009804249173777,glk,glucokinase,Coenzyme transport and metabolism,Op637,"GltR-II,HexR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1011&e1=1&assembly=complete
