locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_0959,0.4197374000510365,mlaE,phospholipid ABC transporter,"Secondary metabolites biosynthesis, transport, and catabolism",Op609,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0959&e1=1&assembly=complete
PP_2163,0.3881896248501995,vacJ,VacJ lipoprotein,Cell wall/membrane/envelope biogenesis,Op1391,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2163&e1=1&assembly=complete
PP_0958,0.3861313697610502,mlaF,phospholipid ABC transporter ATP-binding subunit,"Secondary metabolites biosynthesis, transport, and catabolism",Op609,Crc,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0958&e1=1&assembly=complete
PP_4937,0.3429558745154864,PP_4937,toluene tolerance protein,Transcription,Op3217,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4937&e1=1&assembly=complete
PP_0961,0.3227385718734759,ttg2D,toluene tolerance protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op609,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0961&e1=1&assembly=complete
PP_0960,0.1699767004068104,mlaD,phospholipid ABC transporter binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op609,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0960&e1=1&assembly=complete
PP_0856,0.148825991057806,PP_0856,conserved lipoprotein of unknown function,Cell wall/membrane/envelope biogenesis,Op554,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0856&e1=1&assembly=complete
PP_0962,0.148674978169884,ttg2E,toluene-tolerance protein,Signal transduction mechanisms,Op609,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0962&e1=1&assembly=complete
PP_3105,0.0984722114194743,PP_3105,conserved membrane protein of unknown function,No COG annotation,Op2017,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3105&e1=1&assembly=complete
PP_0809,0.0914941356648832,dsbB,disulfide bond formation protein B,Energy production and conversion,Op531,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0809&e1=1&assembly=complete
PP_0127,0.0912851603279078,dsbA,Thiol:disulfide interchange protein,"Post-translational modification, protein turnover, and chaperones",Op89,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0127&e1=1&assembly=complete
PP_0345,0.0774497822060383,PP_0345,putative Heptose kinase WapP,Transcription,Op237,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0345&e1=1&assembly=complete
PP_4785,0.0750833351253424,PP_4785,conserved exported protein of unknown function,Function unknown,Op3129,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4785&e1=1&assembly=complete
PP_3248,0.0709571949410211,PP_3248,Dyp-type peroxidase family protein,Inorganic ion transport and metabolism,Op2113,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3248&e1=1&assembly=complete
