locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GbdR,link
PP_0313,0.2401489635300403,PP_0313,putative electron transfer flavoprotein beta subunit,Energy production and conversion,Op217,"AlgR,GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0313&e1=1&assembly=complete
PP_0326,0.221152107620248,soxG,sarcosine oxidase subunit gamma,Amino acid transport and metabolism,Op225,GbdR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0326&e1=1&assembly=complete
PP_0323,0.2176288497076824,soxB,sarcosine oxidase subunit beta,Amino acid transport and metabolism,Op225,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0323&e1=1&assembly=complete
PP_0324,0.2164517435181576,soxD,sarcosine oxidase subunit delta,Amino acid transport and metabolism,Op225,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0324&e1=1&assembly=complete
PP_0325,0.2114442854234295,soxA,sarcosine oxidase subunit alpha,Energy production and conversion,Op225,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0325&e1=1&assembly=complete
PP_0310,0.2025826351172324,dgcA,putative dimethylglycine dehydrogenase subunit,Energy production and conversion,Op216,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0310&e1=1&assembly=complete
PP_0312,0.2015508299453816,PP_0312,electron transfer flavoprotein%2C alpha subunit,Energy production and conversion,Op217,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0312&e1=1&assembly=complete
PP_0308,0.2004621599762034,PP_0308,putative dipeptidase,Amino acid transport and metabolism,Op215,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0308&e1=1&assembly=complete
PP_0311,0.1939284363058703,dgcB,putative dimethylglycine dehydrogenase subunit,Energy production and conversion,Op217,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0311&e1=1&assembly=complete
PP_0322,0.183294835267223,glyA-I,serine hydroxymethyltransferase,Amino acid transport and metabolism,Op225,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0322&e1=1&assembly=complete
