locus,gene_weight,gene_name,gene_product,cog,operon,regulator,HutC,link
PP_0290,0.3956582183773997,hisH,Imidazole glycerol phosphate synthase subunit HisH,Amino acid transport and metabolism,Op201,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0290&e1=1&assembly=complete
PP_0966,0.3043076314784,hisD,Histidinol dehydrogenase,Amino acid transport and metabolism,Op611,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0966&e1=1&assembly=complete
PP_0292,0.3001797998671684,hisA,phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase,Amino acid transport and metabolism,Op201,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0292&e1=1&assembly=complete
PP_0289,0.2990388020874384,hisB,Imidazoleglycerol-phosphate dehydratase,Amino acid transport and metabolism,Op201,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0289&e1=1&assembly=complete
PP_5014,0.2955489043441661,hisI,Phosphoribosyl-AMP cyclohydrolase,Amino acid transport and metabolism,Op3270,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5014&e1=1&assembly=complete
PP_0965,0.2020653301393545,hisG,ATP phosphoribosyltransferase,Nucleotide transport and metabolism,Op611,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0965&e1=1&assembly=complete
PP_0291,0.1425898974612806,PP_0291,conserved protein of unknown function,Function unknown,Op201,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0291&e1=1&assembly=complete
PP_5033,-0.110716448011758,hutU,Urocanate hydratase,Amino acid transport and metabolism,Op3278,"RoxR,FinR,GacA,HutC",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5033&e1=1&assembly=complete
PP_5030,-0.1438234034963914,hutI,Imidazolonepropionase,Nucleotide transport and metabolism,Op3278,"RoxR,FinR,HutC",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5030&e1=1&assembly=complete
PP_5029,-0.1882359766934613,hutG,N-formylglutamate deformylase,Amino acid transport and metabolism,Op3278,"RoxR,FinR,HutC",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5029&e1=1&assembly=complete
PP_5036,-0.2039827948132689,hutF,probable formiminoglutamate deiminase,Nucleotide transport and metabolism,Op3280,"FinR,HutC",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5036&e1=1&assembly=complete
